#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.Title,ltable.Author,ltable.ISBN_13,ltable.Publisher,rtable.Title,rtable.Author,rtable.ISBN_13,rtable.Publisher,gold
687488,3933,3994,David Busch's Compact Field Guide for the Canon EOS Rebel T3/1100D,David D. Busch,978-1435460300,Cengage Learning PTR,David Busch's Compact Field Guide for the Nikon D7000,David D. Busch,978-1435459984,Cengage Learning,0
357973,1973,4480,Dreamweaver MX: The Missing Manual,David McFarland,978-0596003494,O'Reilly Media,Dreamweaver CC: The Missing Manual: Covers 2014 release,David Sawyer McFarland# Chris Grover,978-1491947203,"O'Reilly Media, Incorporated",0
683050,3914,5970,David Busch's Canon Powershot G10/G11 Guide to Digital Photography,David D. Busch# Alexander S. White,978-1435455351,Cengage Learning PTR,David Busch's Nikon D5100 Guide to Digital SLR Photography,David D. Busch,978-1435460850,Cengage Learning,0
422224,2316,823,MOS 2013 Study Guide for Microsoft Outlook,Joan Lambert,978-0735669222,Microsoft Press,MOS 2013 Study Guide for Microsoft Outlook,Joan Lambert,978-0735669222,Microsoft Press,1
657045,3762,1105,"New Perspectives on Computer Concepts, 10th Edition, Comprehensive",June Jamrich Parsons# Dan Oja,978-1423906100,Thomson Course Technology,New Perspectives on Microsoft Excel 2010: Comprehensive,June Jamrich Parsons# Roy Ageloff# Patrick Carey# Dan Oja,978-0538742917,Cengage Learning,0
1080936,6995,8829,Autodesk 3ds Max Design 2013: A Tutorial Approach,Prof. Sham Tickoo Purdue Univ. and CADCIM Technologies,,CADCIM Technologies,The eyeon Fusion 6.3: A Tutorial Approach,Sham Tickoo,294-0148557029,CADCIM,0
713144,4111,9734,iPod: The Missing Manual,J. D. Biersdorfer# David Pogue,978-1449312855,O'Reilly Media,"Mac OS X, Panther Edition: The Missing Manual",David Pogue,978-0596006150,"O'Reilly Media, Incorporated",0
178062,974,336,Adobe After Effects 5.0: Classroom in a Book,Adobe Creative Team,,,Adobe Photoshop CC Classroom in a Book / Edition 1,Adobe Creative Team,978-0321928078,Adobe Press,0
777618,4547,1084,"Computer Networks, Third Edition: A Systems Approach, 3rd Edition",Larry L. Peterson# Bruce S. Davie,978-1558608320,Morgan Kaufmann,Computer Networks / Edition 5,Andrew S. Tanenbaum# David J. Wetherall,978-0132126953,Pearson,0
870168,5133,3895,David Busch's Canon EOS 50D Guide to Digital SLR Photography,David D. Busch,978-1598639049,Cengage Learning PTR,David Busch's Sony Alpha NEX-7 Guide to Digital Photography,David D. Busch,978-1133597452,Cengage Learning,0
164524,886,4180,Principles of Computer Hardware,Alan Clements,978-0199273133,Oxford University Press,Principles of Computer Hardware / Edition 4,Alan Clements,978-0199273133,Oxford University Press,1
1208773,8503,8647,OneNote Essentials,J. D. Guest Sr.,,J.D. Guest Sr.,SVG Essentials,J. David Eisenberg# Amelia Bellamy-Royds,978-1449374358,"O'Reilly Media, Incorporated",0
28281,172,6198,"Mike Meyers' CompTIA Security+ Certification Passport, Third Edition",T. J. Samuelle,978-0071770385,McGraw-Hill Education,Mike Meyers' CompTIA Security+ Certification Passport 3rd Edition (Exam SY0-301) / Edition 3,T. J. Samuelle,978-0071770385,McGraw-Hill Professional Publishing,1
232365,1282,863,Apple Pro Training Series: Logic Pro 9 Advanced Music Production,David Dvorin# Robert Brock,978-0321647450,Peachpit Press,Apple Pro Training Series: Logic Pro X 10.1: Professional Music Production,David Nahmani,978-0134185736,Peachpit Press,0
1116842,7401,7416,"Start Concurrent: An Introduction to Problem Solving in Java with a Focus on Concurrency, 2014",Barry Wittman# Aditya Mathur# Tim Korb,,Purdue University Press,"Start Concurrent: An Introduction to Problem Solving in Java with a Focus on Concurrency, 2014",Barry Whitman# Aditya Mathur# Tim Korb,978-1626710108,Purdue University Press,1
676499,3872,6638,Building Your Own Electronics Lab: A Guide to Setting Up Your Own Gadget Workshop,Dale Wheat,978-1430243861,Apress,Building Your Own Electronics Lab: A Guide to Setting Up Your Own Gadget Workshop,Dale Wheat,978-1430243861,Apress,1
368077,2041,3370,iPhone: The Missing Manual,David Pogue,,,Mac OS X Lion: The Missing Manual,David Pogue,978-1449397494,"O'Reilly Media, Incorporated",0
191179,1057,4058,Recoding Gender: Women's Changing Participation in Computing,Janet Abbate,978-0262018067,The MIT Press,Recoding Gender: Women's Changing Participation in Computing,Janet Abbate,978-0262018067,MIT Press,1
614972,3496,3099,Adobe Photoshop Creative Cloud Revealed Update,Elizabeth Eisner Reding,978-1285842370,Course Technology,Adobe Photoshop CS6 Revealed,Elizabeth Eisner Reding,978-1133693222,Cengage Learning,0
291141,1625,9574,Business Analysis with QuickBooks,Conrad Carlberg,978-0470543146,Wiley,Business Analysis with QuickBooks,Conrad Carlberg,978-1118076682,Wiley,1
1036308,6528,9361,Digital Photo Editing for Seniors: Learn How to Edit Your Digital Photos with Arcsoft PhotoStudio,Addo Stuur,,,Digital Photo Editing for Seniors: Learn How to Edit Your Digital Photos with Arcsoft PhotoStudio,Addo Stuur,978-9059050648,Visual Steps Publishing,1
657055,3762,2092,"New Perspectives on Computer Concepts, 10th Edition, Comprehensive",June Jamrich Parsons# Dan Oja,978-1423906100,Thomson Course Technology,"New Perspectives on Microsoft Windows 8, Comprehensive",June Jamrich Parsons,978-1285080871,Cengage Learning,0
210758,1169,900,"The New Digital Age: Reshaping the Future of People, Nations and Business",Eric Schmidt# Jared Cohen,978-0307957139,Knopf,"The New Digital Age: Transforming Nations, Businesses, and Our Lives",Eric Schmidt# Jared Cohen,978-0307947055,Knopf Doubleday Publishing Group,0
486276,2722,1693,My Samsung Galaxy Tab 3,Eric Butow# Lonzell Watson,978-0789751935,Que Publishing,My Samsung Galaxy Tab 3,Eric Butow# Lonzell Watson,978-0789751935,Que,1
351073,1931,1105,New Perspectives on Microsoft Windows 7: Comprehensive,June Jamrich Parsons# Dan Oja# June Jamrich Parsons# Lisa Ruffolo# Dan Oja,978-0538746007,Course Technology,New Perspectives on Microsoft Excel 2010: Comprehensive,June Jamrich Parsons# Roy Ageloff# Patrick Carey# Dan Oja,978-0538742917,Cengage Learning,0
679272,3888,8363,Learn Unity for 2D Game Development,Alan Thorn,978-1430262299,Apress,Pro Unity Game Development with C#,Alan Thorn,978-1430267461,Apress,0
47222,299,6309,"How to Do Everything with Your Palm Powered Device, Sixth Edition",Dave Johnson# Rick Broida,978-0072263794,McGraw-Hill Osborne Media,How To Do Everything With Your Scanner,Dave Huss# Jill Gilbert# Jill How Gilbert,978-0072228915,McGraw-Hill/OsborneMedia,0
775526,4539,8939,Digital Video and HD: Algorithms and Interfaces,Charles Poynton,978-1558607927,Morgan Kaufmann,Digital Video and HD: Algorithms and Interfaces / Edition 2,Charles Poynton,978-0123919267,Elsevier Science,1
602069,3435,2556,Practical Microsoft Office 2013,June Jamrich Parsons# Dan Oja# June Jamrich Parsons,978-1285075990,Course Technology,Practical Microsoft Office 2013 (with CD-ROM),June Jamrich Parsons,978-1285075990,Cengage Learning,1
606132,3454,933,"New Perspectives on Microsoft Access 2013, Comprehensive",Joseph J. Adamski# Kathy T. Finnegan# Joseph J. Adamski# Sharon Scollard# Kathy T. Finnegan,978-1285099200,Course Technology,"Exploring: Microsoft Word 2013, Comprehensive / Edition 1",Lynn Hogan# Linda Lau# Robert T. Grauer# Mary Anne Poatsy,978-0133412222,Prentice Hall,0
480833,2695,967,Excel VBA and Macros with MrExcel,Bill Jelen,978-0789739384,Que Publishing,Excel 2013 VBA and Macros,Bill Jelen# Tracy Syrstad,978-0789748614,Que,0
349804,1924,1105,New Perspectives on Microsoft Office 2010: Brief,Ann Shaffer# Patrick Carey# Ann Shaffer# Kathy T. Finnegan# Patrick Carey# Joseph J. Adamski# Kathy T. Finnegan# Beverly B. Zimmerman# Joseph J. Adamski,,,New Perspectives on Microsoft Excel 2010: Comprehensive,June Jamrich Parsons# Roy Ageloff# Patrick Carey# Dan Oja,978-0538742917,Cengage Learning,0
586738,3327,5931,Teach Yourself VISUALLY Excel 2016,Paul McFedries,,,Teach Yourself VISUALLY Complete Mac Pro,Paul McFedries,978-1118826454,Wiley,0
853189,5048,5910,Security Risk Management: Building an Information Security Risk Management Program from the Ground Up,Evan Wheeler,978-1597496155,Syngress,Security Risk Management: Building an Information Security Risk Management Program from the Ground Up,Evan Wheeler,978-1597496155,Elsevier Science,1
300423,1680,645,Droid X For Dummies,Dan Gookin,978-0470903193,For Dummies,Word 2010 For Dummies,Dan Gookin,978-0470487723,Wiley,0
372607,2063,6506,iPod: The Missing Manual,J. D. Biersdorfer# David Pogue,978-0596522124,O'Reilly Media,Windows Vista for Starters: The Missing Manual,David Pogue,978-0596528263,"O'Reilly Media, Incorporated",0
743788,4356,1710,Windows Registry Troubleshooting,Mike Halsey MVP# Andrew Bettany MVP# Mike Halsey MVP,978-1484209936,Apress,Troubleshooting Windows 7 Inside Out,Mike Halsey,978-0735645202,Microsoft Press,0
583714,3308,282,iPad For Seniors For Dummies,Nancy C. Muir,978-1118944387,For Dummies,iPhone For Seniors For Dummies,Nancy C. Muir,978-1118944448,Wiley,0
423561,2331,4451,Microsoft SharePoint 2013 App Development,Scot Hillier# Ted Pattison,978-0735674981,Microsoft Press,Inside Microsoft SharePoint 2013,Scot Hillier# Ted Pattison# Mirjam van Olst# Andrew Connell,978-0735674479,Microsoft Press,0
587122,3330,4908,Excel VBA Programming For Dummies,John Walkenbach,978-1119077398,For Dummies,Mobile Marketing For Dummies,Michael Becker# John Arnold,978-0470616680,Wiley,0
585438,3323,282,Computers For Seniors For Dummies,Nancy C. Muir,978-1119049555,For Dummies,iPhone For Seniors For Dummies,Nancy C. Muir,978-1118944448,Wiley,0
56278,386,3497,"The Designer's Guide to VHDL, Third Edition",Peter J. Ashenden,978-0120887859,Morgan Kaufmann,The Designer's Guide to VHDL / Edition 3,Peter J. Ashenden,978-0120887859,Elsevier Science,1
140805,783,4138,Exploring Microsoft Office Excel 2010 Introductory,Robert T. Grauer# Mary Anne Poatsy# Keith Mulbery# Mary Anne Poatsy# Lynn Hogan# Keith Mulbery,978-0135098479,Prentice Hall,"Exploring: Microsoft Access 2013, Introductory / Edition 1",Mary Anne Poatsy# Cynthia Krebs# Eric Cameron# Robert T. Grauer,978-0133412192,Prentice Hall,0
686884,3932,3007,David Busch's Canon EOS Rebel T3i/600D Guide to Digital SLR Photography,David D. Busch,978-1435460287,Cengage Learning PTR,David Busch's Nikon D5200 Guide to Digital SLR Photography,David D. Busch,978-1285759838,Cengage Learning,0
859252,5086,285,Adobe Photoshop Lightroom Photographers' Guide,John G. Blair,978-1598633399,Course Technology PTR,Adobe Photoshop Lightroom CC (2015 release) / Lightroom 6 Classroom in a Book,John Evans,978-0133924824,Adobe Press,0
1129349,7549,8935,Group Policy Administration: The Personal Trainer for Windows Server 2008 and Windows Server 2008 R2,William Stanek,,,Group Policy Administration: The Personal Trainer for Windows Server 2008 and Windows Server 2008 R2,William Stanek,978-1627161626,Stanek & Associates,1
602397,3440,2092,"New Perspectives on Microsoft Windows 8, Brief",June Jamrich Parsons# Dan Oja# June Jamrich Parsons# Lisa Ruffolo# Dan Oja,978-1285080918,Course Technology,"New Perspectives on Microsoft Windows 8, Comprehensive",June Jamrich Parsons,978-1285080871,Cengage Learning,0
374367,2072,3382,Microsoft Project 2007: The Missing Manual,Bonnie Biafore,,,Microsoft Project 2010: The Missing Manual,Bonnie Biafore,978-1449381950,"O'Reilly Media, Incorporated",0
866665,5117,6596,David Busch's Canon EOS Digital Rebel XSi/450D Guide to Digital SLR Photography,David D. Busch,978-1598635782,Cengage Learning PTR,Canon EOS 40D Guide to Digital Photography / Edition 1,David D. Busch,978-1598635102,Cengage Learning,0
282062,1574,2792,Professional Microsoft SQL Server 2008 Reporting Services,Paul Turley# Thiago Silva# Bryan C. Smith# Ken Withee,,,Beginning T-SQL with Microsoft SQL Server 2005 and 2008,Paul Turley# Dan Wood,978-0470257036,Wiley,0
1071310,6882,3835,Photoshop CS6 Beta New Features: Digital Classroom Preview,Jennifer Smith,,Wiley,Premiere Pro CS6 Digital Classroom,Jerron Smith# AGI Creative Team,978-1118494547,Wiley,0
866815,5117,9129,David Busch's Canon EOS Digital Rebel XSi/450D Guide to Digital SLR Photography,David D. Busch,978-1598635782,Cengage Learning PTR,David Busch's Sony Alpha NEX-5/NEX-3 Guide to Digital Photography,David D. Busch,978-1435459182,Cengage Learning,0
434501,2415,3545,"Embedded Microprocessor Systems, Third Edition: Real World Design",Stuart Ball,978-0750675345,Newnes,Analog Interfacing to Embedded Microprocessor Systems / Edition 2,Stuart Ball,978-0750677233,Elsevier Science,0
684186,3919,4562,David Busch's Olympus PEN EP-2 Guide to Digital Photography,David D. Busch# Dan Simon,978-1435457409,Cengage Learning PTR,David Busch's Nikon D4 Guide to Digital SLR Photography,David D. Busch,978-1285084589,Cengage Learning,0
228387,1261,704,Adobe Photoshop Lightroom 2 Classroom in a Book,Adobe Creative Team,978-0321555601,Adobe Press,Adobe Photoshop CS6 Digital Classroom,Jennifer Smith# AGI Creative Team,978-1118123898,Wiley,0
863664,5105,6958,David Busch's Quick Snap Guide to Using Digital SLR Lenses,David D. Busch,978-1598634556,Cengage Learning PTR,David Busch's Nikon D60 Guide to Digital SLR Photography / Edition 1,David D. Busch,978-1598635775,Cengage Learning,0
1036343,6532,4503,iPad with iOS 8 and higher for Seniors: Learn to Work with the iPad,Studio Visual Steps,978-9059053502,Visual Steps Publishing,Tips and Tricks for the iPad with iOS 8 for Seniors: Get More Out of Your iPad,Studio Visual Steps,978-9059053908,Visual Steps Publishing,0
61807,402,4461,Letting Go of the Words: Writing Web Content that Works,Janice (Ginny) Redish,978-0123694867,Morgan Kaufmann,Letting Go of the Words: Writing Web Content that Works / Edition 1,Janice (Ginny) Redish,978-0123694867,Elsevier Science,1
712159,4108,1991,Inside Cyber Warfare: Mapping the Cyber Underworld,Jeffrey Carr,978-1449310042,O'Reilly Media,Inside Cyber Warfare: Mapping the Cyber Underworld,Jeffrey Carr,978-1449310042,"O'Reilly Media, Incorporated",1
453569,2545,5611,Mac OS 9 For Dummies,Bob LeVitus# Steven Bobker,978-0764506529,For Dummies,Mac OS X Snow Leopard For Dummies,Bob LeVitus# Levitus,978-0470435434,Wiley,0
41051,264,6947,"A+ Certification All-in-One Exam Guide, 4th Edition",Michael Meyers,978-0072222746,McGraw-Hill Osborne Media,Cisco QOS Exam Certification Guide,Wendell Odom# Michael J. Cavanaugh,978-1587201240,Cisco Press,0
23425,135,1147,CISSP Practice Exams,Shon Harris,978-0071701396,McGraw-Hill Osborne Media,"CISSP Practice Exams, Third Edition",Shon Harris,978-0071845403,McGraw-Hill Education,1
835479,4926,376,"Electrical Engineering Quick Reference for the Power, Electrical and Electronics, and Computer PE Exams",John  A. Camara PE,978-1591261131,"Professional Publications, Inc.",FE Exam Review: Electrical and Computer Engineering / Edition 1,Myron E. Sveum PE,978-1591260691,"Professional Publications, Incorporated",0
456572,2565,655,Lotus Notes 6 For Dummies,Stephen R. Londergan,978-0764516498,For Dummies,SAS For Dummies,Stephen McDaniel# Chris Hemedinger,978-0470539682,Wiley,0
1086717,7066,9564,Getting Started with Arduino and .NET,Agus Kurniawan,,PE Press,Getting Started with pcDuino3,Agus Kurniawan,978-1312646940,Lulu.com,0
682858,3914,3568,David Busch's Canon Powershot G10/G11 Guide to Digital Photography,David D. Busch# Alexander S. White,978-1435455351,Cengage Learning PTR,David Busch's Olympus OM-D E-M5 Guide to Digital Photography,David Busch,978-1285429977,Cengage Learning,0
1135275,7646,1285,"Windows Command Line: The Personal Trainer for Windows 7, Windows Server 2008 & Windows Server 2008 R2",William Stanek,,,Windows Command Line: The Personal Trainer for Windows 8.1 Windows Server 2012 and Windows Server 2012 R2,William Stanek,978-1627164139,RP Media,0
575704,3253,4440,PCs For Dummies,Dan Gookin,978-1118197349,For Dummies,Samsung Galaxy Note For Dummies,Dan Gookin,978-1118388464,Wiley,0
234726,1294,7615,Keynote for iPad: Visual QuickStart Guide,Tom Negrino,978-0321751393,Peachpit Press,JavaScript: Visual QuickStart Guide,Tom Negrino# Dori Smith,978-0321772978,Peachpit Press,0
51846,345,2861,"Microsoft Office Word 2010: A Case Approach, Introductory",Linda O'Leary# Timothy O'Leary# Linda O'Leary,978-0077331283,McGraw-Hill Education,"Microsoft Office 2010: A Case Approach, Introductory / Edition 1",Linda O'Leary# Timothy O'Leary# O'Leary Linda,978-0073519302,McGraw-Hill Higher Education,0
422250,2317,875,MOS 2013 Study Guide for Microsoft Word,Joan Lambert,978-0735669253,Microsoft Press,MOS 2013 Study Guide for Microsoft PowerPoint,Joan Lambert,978-0735669239,Microsoft Press,0
178056,974,2316,Adobe After Effects 5.0: Classroom in a Book,Adobe Creative Team,,,Adobe Photoshop Elements 10 Classroom in a Book,Adobe Creative Team,978-0321811004,Adobe Press,0
1051839,6669,5867,"101 Nook Color Tips, Tricks, and Hacks: The Unofficial Guide to Getting the Most Out of the Newest Nook eReader By William Percy",Minute Help Guides,,Minute Help Press,"101 Nook Color Tips, Tricks, and Hacks: The Unofficial Guide to Getting the Most Out of the Newest Nook eReader",Minute Help Guides,978-1610423502,Minute Help Press,1
52360,349,6815,Accounting Information Systems,Robert Hurt,978-0078025884,McGraw-Hill Education,Information Systems Auditing: The IS Audit Follow-up Process,Robert E. Davis,294-0032859956,Robert E. Davis,0
784925,4618,1559,Advanced Adobe Photoshop for Macintosh Classroom in a Book,Adobe Creative Team,978-1568301174,Adobe Pr,Adobe Fireworks CS6 Classroom in a Book,Adobe Creative Team,978-0321822444,Adobe Press,0
574597,3247,3729,Computers For Seniors For Dummies,Nancy C. Muir,978-1118115534,For Dummies,Macs For Dummies,Edward C. Baig,978-1118898697,Wiley,0
609045,3469,3728,Using Quickbooks Accountant 2014,Glenn Owen,978-1285183428,South-Western College Pub,Using QuickBooks Accountant 2015 for Accounting (with CD-ROM and Data File CD-ROM),Glenn Owen,978-1305084773,Cengage Learning,0
292450,1632,3325,Teach Yourself VISUALLY Excel 2010,Paul McFedries,978-0470577646,Visual,Teach Yourself VISUALLY Windows 8,Paul McFedries,978-1118135280,Wiley,0
575628,3252,3314,Microsoft Windows Operating System Essentials,Tom Carpenter,978-1118195529,Sybex,Microsoft Windows Operating System Essentials,Tom Carpenter,978-1118195529,Wiley,1
574715,3248,1379,Adobe After Effects CS6 Digital Classroom,Jerron Smith# AGI Creative Team# Jerron Smith,978-1118142790,Wiley,Adobe InDesign CS6 Digital Classroom,Christopher Smith# AGI Creative Team,978-1118124062,Wiley,0
683838,3917,519,Picture Yourself Learning Corel PaintShop Photo Pro X3,Diane Koers,978-1435456747,Cengage Learning PTR,Picture Yourself Learning Corel PaintShop Pro X7,Diane Koers,978-1305506077,Cengage Learning PTR,0
300154,1678,5718,Knight's Microsoft Business Intelligence 24-Hour Trainer,Brian Knight# Devin Knight# Adam Jorgensen# Patrick LeBlanc# Mike Davis,978-0470889633,Wrox,Applied Microsoft Business Intelligence,Patrick LeBlanc# Jessica M. Moss# Dejan Sarka# Dustin Ryan,978-1118961773,Wiley,0
16638,82,9776,Schaum's Outline of Computer Networking,Ed Tittel,978-0521782586,McGraw-Hill Education,Schaum's Outline of XML,Ed Tittel,978-0071398350,McGraw-Hill Education,0
65024,425,199,"Computer Organization and Design, Fourth Edition: The Hardware/Software Interface",David A. Patterson# John L. Hennessy,978-0123747501,Morgan Kaufmann,Computer Organization and Design: The Hardware/Software Interface / Edition 5,David A. Patterson,978-0124077263,Elsevier Science,0
