"ID", "Title", "Author", "Price", "Edition", "ASIN", "ISBN-13", "ISBN-10", "Paperback", "Series", "Publisher", "File Size", "Print Length", "Publication Date", "Sold by", "Language", "Product Dimensions", "Shipping Weight"
"13","Multimedia and the Web: Creating Digital Excitement (Harcourt College Publishers Series in Computer Technology)","Calleen Coorough; James E. Shuman","$0.33","1st Edition","","978-0030321887","0030321883","384 pages","Harcourt College Publishers Series in Computer Technology","Course Technology; 1 edition (February 15, 2001)","","","","","English","10.3 x 8.5 x 0.6 inches","1.8 pounds"
"14","Cyber War: The Next Threat to National Security and What to Do About It","Richard A. Clarke; Robert Knake","$13.79","","","","","","","","","","","","","",""
"15","Tubes: A Journey to the Center of the Internet","Andrew Blum","$12.88","","","","","","","","","","","","","",""
"16","Machines of Loving Grace: The Quest for Common Ground Between Humans and Robots","John Markoff","$17.30","","","","","","","","","","","","","",""
"17","What to Think About Machines That Think: Today's Leading Thinkers on the Age of Machine Intelligence","John Brockman","$10.99"," ","","","","","","","","","","","","",""
"18","Going Wireless: Transform Your Business with Mobile Technology","Jaclyn Easton","$0.01","","","978-0066213361","0066213363","","","HarperBusiness (March 19, 2002)","","","","","English","6 x 0.9 x 9 inches","1.1 pounds"
"19","Free for All: How LINUX and the Free Software Movement Undercut the High-Tech Titans","Peter Wayner","$0.01","","","978-0066620503","0066620503","","","HarperBusiness; 1st edition (July 2000)","","","","","English","9.6 x 6.5 x 1.2 inches","1.4 pounds"
"20","The Unfinished Revolution: Human-Centered Computers and What They Can Do For Us","Michael L. Dertouzos","$0.01","","","978-0066620671","0066620678","","","HarperBusiness; 1st edition (January 2001)","","","","","English","6.1 x 0.9 x 9.2 inches","1.2 pounds"
"21","Just for Fun: The Story of an Accidental Revolutionary","Linus Torvalds; David Diamond","$12.40","","","","","","","","","","","","","",""
"22","Driving Digital: Microsoft and Its Customers Speak about Thriving in the E-Business Era","William L. Simon; Robert L. McDowell","$0.01","","","978-0066620923","0066620929","","","HarperBusiness; 1st Ed edition (April 2001)","","","","","English","9.6 x 6.4 x 0.9 inches","1 pounds"
"23","Structure and Interpretation of Computer Programs, Second Edition","Harold Abelson; Gerald Jay Sussman; Julie Sussman","$52.98","2nd Edition","","978-0070004849","0070004846","","","McGraw-Hill Science/Engineering/Math; 2 edition (August 1, 1996)","","","","","English","6 x 1.4 x 9 inches","2.3 pounds"
"24","CDPD: Cellular Digital Packet Data Standards and Technology (McGraw-Hill Computer Communications Series)","John Agosta; Travis Russell","$5.14"," ","","978-0070006003","0070006008","","McGraw-Hill Series on Computer Communications","McGraw-Hill Companies (September 13, 1996)","","","","","English","9.2 x 7.4 x 0.7 inches","1 pounds"
"25","Wireless Networked Communications: Concepts, Technology and Implementation","Regis J. Bates","$0.59","","","978-0070046740","0070046743","","Mcgraw-Hill Series on Computer Communications","Mcgraw-Hill (Tx) (November 22, 1994)","","","","","English","0.8 x 6.5 x 9.5 inches","1.3 pounds"
"26","Client/Server Architecture (McGraw-Hill Computer Communications Series)","Alex Berson","$0.78","","","978-0070056640","0070056641","","J. Ranade Series on Computer Communications","Mcgraw-Hill (Tx); 2nd edition (March 29, 1996)","","","","","English","1.5 x 6.5 x 9.8 inches","2 pounds"
"27","Client/Server Architecture (McGraw-Hill Computer Communications Series)","Alex Berson","$0.78","","","978-0070056640","0070056641","","J. Ranade Series on Computer Communications","Mcgraw-Hill (Tx); 2nd edition (March 29, 1996)","","","","","English","1.5 x 6.5 x 9.8 inches","2 pounds"
"28","Messaging and Queuing Using the MQI: Concepts & Analysis, Design & Development (McGraw-Hill Computer Communications Series)","Burnie Blakeley; Harry Harris; Rhys Lewis; Harry Harris","$0.40"," ","","978-0070057302","0070057303","","Mcgraw-Hill Series on Computer Communications","Mcgraw-Hill (Tx) (May 25, 1995)","","","","","English","1.2 x 6.2 x 9.4 inches","1.6 pounds"
"29","The Complete Guide to Mmx Technology","David Bistry; Carole Dulong; David Bistry; Mickey Gutman; Carole Dulong; Mike Julier; Mickey Gutman; Michael Kieth; Mike Julier; Lawrence M. Mennemeier; Michael Kieth; Millind Mittal; Lawrence M. Mennemeier; Alex D. Peleg; Millind Mittal; Uri Weiser; Alex D. Peleg","$0.04","1st Edition","","978-0070061927","0070061920","313 pages","","McGraw-Hill/TAB Electronics; 1 edition (April 1, 1997)","","","","","English","7.3 x 1 x 9 inches","1.4 pounds"
"30","High-Speed Cable Modems","Albert A. Azzam","$1.33","","","978-0070064171","0070064172","570 pages","McGrow-Hill Series on Computer Communications","McGraw-Hill Companies (June 1, 1997)","","","","","English","9.1 x 7.4 x 1.6 inches","2.2 pounds"
"31","Neural Network Fundamentals with Graphs, Algorithms, and Applications (McGraw-Hill Series in Electrical & Computer Engineering)","Nirmal K. Bose; N. K. Bose; Ping Liang","$5.10","","","978-0070066182","0070066183","","McGraw-Hill Series in Electrical & Computer Engineering","McGraw-Hill Companies (August 14, 1995)","","","","","English","9.5 x 6.7 x 1 inches","1.6 pounds"
"32","Software Engineering Environments: Concepts and Technology","Robert Charette","$5.29","First Edition Edition","","978-0070106451","0070106452","","","Mcgraw-Hill (Tx); First Edition edition (November 1, 1986)","","","","","English","9.1 x 6.1 x 1.3 inches","1.8 pounds"
"33","Build Your Own Z80 Computer","Steve Ciarcia","$34.88","","","978-0070109629","0070109621","352 pages","","Computing Mcgraw-Hill (October 1981)","","","","","English","8.4 x 0.7 x 11.4 inches","1.8 pounds"
"34","ADA as a Second Language (McGraw-Hill series in software engineering and technology)","Norman H. Cohen; Norman Cohen","$1.11","","","978-0070115897","0070115893","838 pages","McGraw-Hill series in software engineering and technology","McGraw-Hill Inc.,US (July 1986)","","","","","English","6.4 x 1.3 x 9.1 inches","2.5 pounds"
"35","Soft-Logic: A Guide to Using a Personal Computer As A Programmable Logic Controller","Robert S. Carrow","$2.40","","","978-0070140172","0070140170","","","Mcgraw-Hill (Tx) (October 1, 1997)","","","","","English","1 x 8 x 9.8 inches","1.9 pounds"
"36","Linear Control System Analysis And Design: Conventional and Modern","John D'Azzo; Constantine Houpis; John D'Azzo","$8.52","4 Sub Edition","","978-0070163218","0070163219","","McGraw-Hill Series in Electrical & Computer Engineering","McGraw-Hill Companies; 4 Sub edition (January 12, 1995)","","","","","English","9.6 x 6.7 x 1.4 inches","2.6 pounds"
"37","Intuitive Digital Computer Basics: An Introduction to the Digital World (Mcgraw-Hill Series in Intuitive Electronics)","Thomas M. Frederiksen","$18.38"," ","","978-0070219656","0070219656","352 pages","Mcgraw-Hill Series in Intuitive Electronics","Mcgraw-Hill (March 1988)","","","","","English","6.5 x 9.8 inches","12 ounces"
"38","SONET: A Guide to Synchronous Optical Network (McGraw-Hill Computer Communications Series)","Walter Goralski","$6.94"," ","","978-0070245631","0070245630","432 pages","Mcgraw-Hill Series on Computer Communications","Mcgraw-Hill (Tx) (July 10, 1997)","","","","","English","1.2 x 7.5 x 9.2 inches","2.2 pounds"
"39","ADSL and DSL Technologies","Walter J. Goralski","$35.99"," ","","978-0070246799","0070246793","448 pages","McGraw-Hill Series on Computer Communications","McGraw-Hill Companies (March 6, 1998)","","","","","English","9.2 x 7.4 x 1.1 inches","2.2 pounds"
"40","How to Design Self-Directed and Distance Learning Programs: A Guide for Creators of Web-Based Training, Computer-Based Training, and Self-Study Materials","Nigel Harrison","$0.41","","","978-0070271005","0070271003","360 pages","","McGraw-Hill; 1 edition (July 31, 1998)","","","","","English","7.3 x 0.9 x 9.1 inches","1.6 pounds"
"41","Computer Methods for Solving Dynamic Separation Problems (Mcgraw Hill Chemical Engineering Series)","Charles Donald Holland","$0.01"," ","","978-0070295735","0070295735","","Mcgraw Hill Chemical Engineering Series","Mcgraw-Hill College (February 1, 1983)","","","","","English","9.1 x 6.6 x 1.1 inches","1.7 pounds"
"42","Computer Hardware Diagnostics for Engineers","Ronald E. Howland; Ronald Howland","$1.10"," ","","978-0070305618","0070305617","","Computer Engineering Series","Mcgraw-Hill (Tx) (April 21, 1995)","","","","","English","1 x 6.8 x 9.8 inches","1.1 pounds"
"43","Advanced Computer Architecture: Parallelism, Scalability, Programmability","Kai Hwang","$14.90","1st Edition","","978-0070316225","0070316228","","McGraw-Hill Computer Science Series","McGraw-Hill Science/Engineering/Math; 1 edition (December 1, 1992)","","","","","English","7.8 x 1.6 x 9.6 inches","1.6 pounds"
"44","Ethical Decision Making & Information Technology: An Introduction with Cases","John P Grillo; Ernest A. Kallman; John P Grillo","$12.99","2nd Edition","","978-0070340909","0070340900","140 pages","","McGraw-Hill/Irwin; 2 edition (December 1, 1995)","","","","","English","7.2 x 0.5 x 9 inches","9.6 ounces"
"45","Computer Control of Manufacturing Systems","Yoram Koren","$0.32"," ","","978-0070353411","0070353417","","","Mcgraw-Hill College (January 1983)","","","","","English","1 x 7 x 9.8 inches","1.2 pounds"
"46","Schaum's Outline of Essential Computer Mathematics","Seymour Lipschutz","$12.00","1st Edition","","978-0070379909","0070379904","256 pages","Schaum's Outlines","McGraw-Hill Education; 1 edition (April 1, 1982)","","","","","English","8.2 x 0.7 x 10.9 inches","1.6 pounds (View shipping rates and policies)"
"47","Computer Numerical Control for Machining","Michael Lynch","$5.39","1st Edition","","978-0070392236","0070392234","","","McGraw-Hill Professional; 1 edition (November 1, 1991)","","","","","English","6.1 x 1.2 x 9.1 inches","1.7 pounds"
"48","Computer Programmes for Computational Assistance in the Study of Linear Control Theory","James L. Melsa; Stephen K. Jones","$0.01","","","978-0070414983","007041498X","","","McGraw-Hill Inc.,US; 2nd edition (January 1, 1973)","","","","","English","8.8 x 6 x 0.7 inches","13.6 ounces"
"49","Linear Control Systems","James Melsa; Donald Schultz; James Melsa","$51.06","Rev Sub Edition","","978-0070415256","0070415250","","Mcgraw-Hill Series in Electrical and Computer Engineering. Computer Engineering","Mcgraw-Hill College; Rev Sub edition (October 1, 1992)","","","","","English","1 x 7 x 9.8 inches","1.9 pounds"
"50","Beyond IBM","Lou Mobley; Kate McKeown","$0.01","","","978-0070426252","0070426252","","","Mcgraw-Hill (February 1989)","","","","","English","9.3 x 5.9 x 1.1 inches","1.3 pounds"
"51","Video Dialtone Technology: Digital Video over Adsl, Hfc, Fttc, and Atm (McGraw-Hill Series on Computer Communications)","Daniel Minoli","$0.74"," ","","978-0070427242","0070427240","","McGraw-Hill Series on Computer Communications","Mcgraw-Hill (Tx) (May 1, 1995)","","","","","English","1.5 x 6.8 x 9.8 inches","1.9 pounds"
"52","Digital Signal Processing: A Computer-Based Approach (Mcgraw-Hill Series in Electrical and Computer Engineering)","Sanjit K. Mitra","$1.53"," ","","978-0070429536","0070429537","","Mcgraw-Hill Series in Electrical and Computer Engineering","Mcgraw-Hill College (May 1997)","","","","","English","1.5 x 8.2 x 9.5 inches","3.2 pounds"
"53","Principles of Interactive Computer Graphics (McGraw-Hill computer science series)","William M. Newman","$7.98","2nd Edition","","978-0070463387","0070463387","","McGraw-Hill computer science series","Mcgraw-Hill College; 2 edition (July 1978)","","","","","English","9.3 x 6.5 x 1.2 inches","1.8 pounds"
"54","Vhdl: Analysis and Modeling of Digital Systems (Mcgraw Hill Series in Electrical and Computer Engineering)","Zainalabedin Navabi","$0.23","","","978-0070464728","0070464723","","Mcgraw Hill Series in Electrical and Computer Engineering","Mcgraw-Hill College (September 1992)","","","","","English","0.8 x 6.8 x 9.8 inches","1.5 pounds"
"55","Computer Applications in Construction (Mcgraw Hill Series in Construction Engineering and Project Management)","Boyd C. Paulson","$3.50","","","978-0070489677","007048967X","","Mcgraw Hill Series in Construction Engineering and Project Management","Mcgraw-Hill College (August 1994)","","","","","English","1 x 7 x 9.8 inches","2 pounds"
"56","Design With Microcontrollers (Mcgraw Hill Series in Electrical and Computer Engineering)","John B. Peatman","$12.95","First Edition","","978-0070492387","0070492387","","Mcgraw Hill Series in Electrical and Computer Engineering","Mcgraw-Hill College; First edition (January 1, 1988)","","","","","English","1.2 x 7 x 9.8 inches","2.2 pounds"
"57","Graphical User Interfaces and Graphic Standards (Computer Graphics Technology and Management Series)","Jon Peddie","$29.95","","","978-0070492547","0070492549","","Computer Graphics Technology and Management Series","Computing Mcgraw-Hill (June 1992)","","","","","English","0.8 x 7.8 x 9.5 inches","1.3 pounds (View shipping rates and policies)"
"58","Mathematical Elements for Computer Graphics","David F. Rogers; J. Alan Adams","$3.24","","","978-0070535299","0070535299","","","Mcgraw-Hill College; 2 Sub edition (January 1989)","","","","","English","1.2 x 7 x 9.8 inches","1.6 pounds"
"59","Mechanical Devices for the Electronics Experimenter","C. Britton Rorabaugh","$1.98","1st Edition","","978-0070535473","0070535477","237 pages","","McGraw-Hill Education TAB; 1 edition (March 22, 1995)","","","","","English","7.3 x 0.6 x 9.2 inches","15.5 ounces (View shipping rates and policies)"
"60","Transmission Lines in Computer Engineering","Sol Rosenstark","$59.99","","","978-0070539532","0070539537","","Computer Engineering","Mcgraw-Hill (Tx) (March 1994)","","","","","English","1 x 6.2 x 9.5 inches","1.7 pounds"
"61","Information Transmission, Modulation and Noise","Mischa Schwartz","$32.95","4 Sub Edition","","978-0070559097","0070559090","","Mcgraw Hill Series in Electrical and Computer Engineering","Mcgraw-Hill College; 4 Sub edition (February 1, 1990)","","","","","English","1.5 x 7 x 9.8 inches","2.5 pounds"
"62","Computer Structures: Principles and Examples (McGraw-Hill computer science series)","Daniel P. Siewiorek; C. Gordon Bell; Daniel P. Siewiorek; Allen Newell; C. Gordon Bell","$9.25","2nd Edition","","978-0070573024","0070573026","","McGraw-Hill computer science series","Mcgraw-Hill College; 2nd edition (September 1981)","","","","","English","1.8 x 8.8 x 9.8 inches","4.4 pounds"
"63","How to Be a Successful Computer Consultant","Alan R. Simon","$0.97","","","978-0070576186","0070576181","300 pages","","Computing Mcgraw-Hill; 3rd edition (November 1993)","","","","","English","0.8 x 6 x 9 inches","14.4 ounces"
"64","Computer Assisted Analysis of Aircraft Performance, Stability and Control","Frederick O. Smetana","$0.00"," ","","978-0070584419","0070584419","625 pages","","Mcgraw-Hill College (September 1984)","","","","","English","","1.7 pounds"
"65","Modern Communication Circuits","Jack R Smith","$18.98","2nd Edition","","978-0070592834","0070592837","","McGraw-Hill Series in Electrical and Computer Engineering","McGraw-Hill Science/Engineering/Math; 2 edition (August 1, 1997)","","","","","English","6.6 x 1.3 x 9.3 inches","2.4 pounds"
"66","Who Knows: Safeguarding Your Privacy in a Networked World","Ann Cavoukian; Don Tapscott","$0.01","","","978-0070633209","0070633207","","","McGraw-Hill (January 1, 1997)","","","","","English","9.3 x 6.3 x 0.9 inches","1.6 pounds"
"67","Digital Control","Richard J. Vaccaro","$0.00"," ","","978-0070667815","0070667810","","Mcgraw Hill Series in Electrical and Computer Engineering","Mcgraw-Hill College (January 25, 1995)","","","","","English","1 x 6.8 x 9.8 inches","1.4 pounds"
"68","Numerical Optimization Techniques for Engineering Design: With Applications (Mcgraw Hill Series in Mechanical Engineering)","Garret N. Vanderplaats","$39.00","1st Edition","","978-0070669642","0070669643","","Mcgraw Hill Series in Mechanical Engineering","Mcgraw-Hill College; 1st edition (February 1984)","","","","","English","0.8 x 7 x 9.8 inches","1.4 pounds"
"69","Client/Server System Design & Implementation (McGraw-Hill Series on Computer Communications)","Larry Vaughn","$0.01","","","978-0070673755","0070673756","","McGraw-Hill Series on Computer Communications","McGraw-Hill Companies; First Edition edition (January 1994)","","","","","English","9.3 x 6.1 x 1 inches","1.3 pounds"
"70","Computer Aided Drafting and Design: Concepts and Applications","Donald D. Voisinet","$3.41","5th Edition","","978-0070675650","0070675651","","","Gregg/Community College Div; 5th edition (September 1986)","","","","","English","7.6 x 0.8 x 9.4 inches","1.8 pounds"
"71","Techno Vision II: Every Executive's Guide to Understanding and Mastering Technology and the Internet","Charles B. Wang; Philip Howard; Charles B. Wang","$0.01","","","978-0070681699","0070681694","","","Mcgraw-Hill; 2nd edition (September 1, 1997)","","","","","English","1.2 x 5.2 x 8.2 inches","12 ounces"
"72","Digital Space: Designing Virtual Environments","Peter Weishar","$1.28","1st Edition","","978-0070696112","007069611X","240 pages","","McGraw-Hill Professional; 1 edition (April 1, 1998)","","","","","English","7.3 x 0.8 x 9 inches","5.9 ounces"
"73","Database Design (Mcgraw Hill Computer Science Series)","Gio Wiederhold","$6.15","2 Sub Edition","","978-0070701328","0070701326","","Mcgraw Hill Computer Science Series","Mcgraw-Hill College; 2 Sub edition (March 1983)","","","","","English","1.5 x 6.8 x 9.8 inches","2.4 pounds"
"74","Digital Signal Processing: WITH DSP Laboratory Using MATLAB: A Computer-Based Approach (McGraw-Hill Series in Electrical and Computer Engineering)","Sanjit K. Mitra","$7.75","2nd Edition","","978-0071226073","0071226079","877 pages","McGraw-Hill Series in Electrical and Computer Engineering","McGraw-Hill Inc.,US; 2nd edition (May 1, 2002)","","","","","English","9.1 x 7.2 x 1.3 inches","2.8 pounds"
"75","Object-Oriented Technology: From Diagram to Code with Visual Paradigm for UML","Curtis HK Tsang; Clarence SW Lau; Curtis HK Tsang; Ying K Leung","$66.59","","","978-0071240468","0071240462","456 pages","","McGraw-Hill Education (Asia); 3rd edition (September 2004)","","","","","English","33.5 x 9.8 x 13.8 inches","1.8 pounds"
"76","Sap R/3 Ale & Edi Technologies (Sap Technical Expert Series)","Rajeev Kasturi","$0.03","","","978-0071347303","0071347305","334 pages","Sap Technical Expert Series","Computing Mcgraw-Hill; Pap/Cdr edition (February 11, 1999)","","","","","English","1 x 7.8 x 9.5 inches","1.4 pounds"
"77","Video Engineering (McGraw-Hill Video/Audio Engineering)","Arch Luther; Andrew Inglis; Arch Luther","$53.36","3rd Edition","","978-0071350174","0071350179","","McGraw-Hill Video/Audio Engineering","McGraw-Hill Education; 3 edition (August 6, 1999)","","","","","English","7.6 x 1.7 x 9.4 inches","2.6 pounds (View shipping rates and policies)"
"78","Fire in the Valley: The Making of The Personal Computer (Second Edition)","Paul Freiberger; Michael Swaine","$0.98","","","978-0071358927","0071358927","463 pages","","McGraw-Hill Companies; 2nd edition (November 29, 2000)","","","","","English","9.2 x 7.4 x 1.6 inches","2.4 pounds"
"79","Computer Telephony Demystified","Michael Bayer","$5.00","1st Edition","","978-0071359870","0071359877","","Demystified","McGraw-Hill Professional; 1 edition (August 11, 2000)","","","","","English","7.2 x 2.2 x 9.1 inches","3.8 pounds"
"80","The Compleat Guide to Day Trading Stocks","Jake Bernstein","$40.00","1st Edition","","978-0071361255","0071361251","","Compleat Day Trader","McGraw-Hill Education; 1 edition (September 20, 2000)","","","","","English","7.3 x 0.9 x 9.3 inches","1.6 pounds"
"81","Schaum's Outline of Computer Architecture (Schaum's Outlines)","Nick Carter","$12.00 - $17.07","1st Edition","","978-0071362078","007136207X","306 pages","Schaum's Outlines","McGraw-Hill Education; 1 edition (January 16, 2002)","","","","","English","8 x 0.7 x 10.7 inches","1.6 pounds (View shipping rates and policies)"
"82","E-Learning: Strategies for Delivering Knowledge in the Digital Age","Marc J. Rosenberg","$22.99","1st Edition","","978-0071362689","0071362681","","","McGraw-Hill Education; 1 edition (November 16, 2000)","","","","","English","6 x 1.2 x 9.1 inches","1.4 pounds (View shipping rates and policies)"
"83","Schaum's Outline of Computer Networking","Ed Tittel","$15.15","1st Edition","","978-0521782586","0071362851","304 pages","Schaum's Outlines","McGraw-Hill Education; 1 edition (July 15, 2002)","","","","","English","8.3 x 0.7 x 10.8 inches","1.3 pounds (View shipping rates and policies)"
"84","Web-Based Human Resources","Alfred Walker","$3.99 - $40.00","1st Edition","","978-0071365154","007136515X","","","McGraw-Hill Education; 1 edition (June 11, 2001)","","","","","English","6.5 x 1.1 x 9.4 inches","1.4 pounds (View shipping rates and policies)"
"85","M-Commerce Crash Course: The Technology and Business of Next Generation Internet Services","P. J. Louis","$30.36","1st Edition","","978-0071369947","0071369945","345 pages","McGraw-Hill Telecom Portable Consultant","McGraw-Hill Professional; 1st edition (February 8, 2001)","","","","","English","6 x 0.8 x 8.9 inches","1.2 pounds (View shipping rates and policies)"
"86","Corporate Portals and eBusiness Integration","Mark Davydov","$37.95","","","","","","","","","","","","","",""
"87","Beyond &quot;e&quot;: 12 Ways Technology is Transforming Sales & Marketing","Stephen Diorio","$0.01","","","978-0071376495","0071376496","","","McGraw-Hill; 1 edition (November 19, 2001)","","","","","English","6.2 x 1.2 x 9.1 inches","1.4 pounds"
"88","The Complete Book of Electronic Security","Bill Phillips","$26.12","1st Edition","","978-0071380188","0071380183","","","McGraw-Hill Education; 1 edition (November 1, 2001)","","","","","English","7.6 x 0.9 x 9.5 inches","1.8 pounds (View shipping rates and policies)"
"89","Locksmithing and Electronic Security Wiring Diagrams","John Schum","$29.73","1st Edition","","978-0071393058","0071393056","275 pages","","McGraw-Hill Education; 1 edition (April 12, 2002)","","","","","English","7.3 x 0.6 x 9.3 inches","1 pounds (View shipping rates and policies)"
"90","Metro Area Networking (McGraw-Hill Networking Professional)","Steven Shepard","$45.00","1st Edition","","978-0071399142","0071399143","327 pages","McGraw-Hill Networking Professional","McGraw-Hill Professional; 1 edition (October 23, 2003)","","","","","English","7.3 x 0.9 x 9 inches","1.4 pounds (View shipping rates and policies)"
"91","Networking Technologies for Cabling Professionals","BICSI","$18.72","1st Edition","","978-0071399173","0071399178","","BICSI Press","McGraw-Hill Professional; 1 edition (April 12, 2002)","","","","","English","7.4 x 1.2 x 9.3 inches","1.7 pounds"
"92","Complete Digital Design: A Comprehensive Guide to Digital Electronics and Computer System Architecture (Professional Engineering)","Mark Balch","$0.00","Metric Edition","","978-0071409278","0071409270","","Professional Engineering","McGraw-Hill Professional; Metric edition (June 18, 2003)","","","","","English","7.5 x 1.6 x 9.3 inches","2.1 pounds"
"93","Wi-Fi Handbook : Building 802.11b Wireless Networks","Frank Ohrtman; Konrad Roeder","$52.76","1st Edition","","978-0071412513","0071412514","363 pages","McGraw-Hill Networking Professional","McGraw-Hill Professional; 1 edition (April 10, 2003)","","","","","English","7.3 x 1 x 9 inches","12.6 ounces (View shipping rates and policies)"
"94","Digital Animation Bible: Creating Professional Animation with 3ds Max, Lightwave, and Maya","George Avgerakis","$7.99","1st Edition","","978-0071414944","0071414940","330 pages","Digital Video and Audio","McGraw-Hill/TAB Electronics; 1 edition (October 2, 2003)","","","","","English","7.1 x 0.8 x 9.1 inches","1.4 pounds"
"95","CNC Robotics: Build Your Own Workshop Bot","Geoff Williams","$24.08","1st Edition","","978-0071418287","0071418288","311 pages","Tab Robotics","McGraw-Hill Education TAB; 1 edition (May 29, 2003)","","","","","English","7.3 x 1 x 9.1 inches","1.5 pounds (View shipping rates and policies)"
"96","Digital Audio Workstation","Colby N. Leider","$30.78","","","","","","","","","","","","","",""
"97","Digital Video Compression (with CD-ROM)","Peter Symes","$35.96","1st Edition","","978-0071424875","0071424873","400 pages","Digital Video/Audio","McGraw-Hill/TAB Electronics; 1 edition (October 2, 2003)","","","","","English","7.3 x 0.8 x 9.2 inches","1.9 pounds"
"98","PDA Security : Incorporating Handhelds into the Enterprise","David Melnick; Inc. Asynchrony Solutions; Mark Dinman; Inc. Asynchrony Solutions; Alexander Muratov; Mark Dinman","$2.70 - $43.95","1st Edition","","978-0071424905","0071424903","378 pages","One Off","McGraw-Hill Professional; 1 edition (July 25, 2003)","","","","","English","6 x 1 x 8.9 inches","1.4 pounds (View shipping rates and policies)"
"99","McGraw-Hill Dictionary of Electrical & Computer Engineering","McGraw-Hill","$19.95","1st Edition","","978-0071442107","0071442103","504 pages","","McGraw-Hill Professional; 1 edition (July 27, 2004)","","","","","English","5.5 x 1.5 x 8.4 inches","1.7 pounds (View shipping rates and policies)"
"100","Managing Cybersecurity Resources: A Cost-Benefit Analysis (The Mcgraw-Hill Homeland Security Series)","Lawrence Gordon; Martin Loeb; Lawrence Gordon","$0.00","1st Edition","","978-0071452854","0071452850","","The Mcgraw-Hill Homeland Security Series","McGraw-Hill Education; 1 edition (September 28, 2005)","","","","","English","6 x 0.9 x 9.1 inches","1 pounds"
"101","Schaum's Outline of Principles of Computer Science (Schaum's Outlines)","Paul Tymann; Carl Reynolds","$10.99","1st Edition","","978-0071460514","0071460519","240 pages","Schaum's Outlines","McGraw-Hill Education; 1 edition (April 17, 2008)","","","","","English","8.2 x 0.4 x 10.8 inches","1.4 pounds (View shipping rates and policies)"
"102","Signaling System #7, Fifth Edition (McGraw-Hill Computer Communications Series)","Travis Russell","$66.46","5th Edition","","","","","","","","","","","","",""
"103","Robot Builder's Bonanza, Third Edition","Gordon McComb; Myke Predko","$16.17","3rd Edition","","978-0071468930","0071468935","733 pages","Robot Builder's Bonanza","McGraw-Hill/TAB Electronics; 3 edition (February 21, 2006)","","","","","English","7.3 x 1.5 x 9.3 inches","2.9 pounds"
