ID,Title,Author,Price,Edition,ASIN,ISBN-13,ISBN-10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight,,,,,
17,What to Think About Machines That Think: Today's Leading Thinkers on the Age of Machine Intelligence,John Brockman,$10.99 , ,,,,,,,,,,,,,,,,,
18,Going Wireless: Transform Your Business with Mobile Technology,Jaclyn Easton,$0.01 ,,,978-0066213361,66213363,,,HarperBusiness ,HarperBusiness,,,English,6 x 0.9 x 9 inches,1.1 pounds,,,,,
19,Free for All: How LINUX and the Free Software Movement Undercut the High-Tech Titans,Peter Wayner,$0.01 ,,,978-0066620503,66620503,,,HarperBusiness,HarperBusiness,,,English,9.6 x 6.5 x 1.2 inches,1.4 pounds,,,,,
20,The Unfinished Revolution: Human-Centered Computers and What They Can Do For Us,Michael L. Dertouzos,$0.01 ,,,978-0066620671,66620678,,,HarperBusiness,HarperBusiness,,,English,6.1 x 0.9 x 9.2 inches,1.2 pounds,,,,,
21,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds# David Diamond,$12.40 ,,,,,,,,,,,,,,,,,,
22,Driving Digital: Microsoft and Its Customers Speak about Thriving in the E-Business Era,William L. Simon# Robert L. McDowell,$0.01 ,,,978-0066620923,66620929,,,HarperBusiness,HarperBusiness,,,English,9.6 x 6.4 x 0.9 inches,1 pounds,,,,,
23,"Structure and Interpretation of Computer Programs, Second Edition",Harold Abelson# Gerald Jay Sussman# Julie Sussman,$52.98 ,2nd Edition,,978-0070004849,70004846,,,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,6 x 1.4 x 9 inches,2.3 pounds,,,,,
24,CDPD: Cellular Digital Packet Data Standards and Technology ,John Agosta# Travis Russell,$5.14 , ,,978-0070006003,70006008,,McGraw-Hill Series on Computer Communications,McGraw-Hill Companies ,McGraw-Hill Companies,,,English,9.2 x 7.4 x 0.7 inches,1 pounds,,,,,
25,"Wireless Networked Communications: Concepts, Technology and Implementation",Regis J. Bates,$0.59 ,,,978-0070046740,70046743,,Mcgraw-Hill Series on Computer Communications,Mcgraw-Hill ,Mcgraw-Hill,,,English,0.8 x 6.5 x 9.5 inches,1.3 pounds,,,,,
26,Client/Server Architecture ,Alex Berson,$0.78 ,,,978-0070056640,70056641,,J. Ranade Series on Computer Communications,Mcgraw-Hill ,Mcgraw-Hill,,,English,1.5 x 6.5 x 9.8 inches,2 pounds,,,,,
27,"Messaging and Queuing Using the MQI: Concepts & Analysis, Design & Development ",Burnie Blakeley# Harry Harris# Rhys Lewis# Harry Harris,$0.40 , ,,978-0070057302,70057303,,Mcgraw-Hill Series on Computer Communications,Mcgraw-Hill ,Mcgraw-Hill,,,English,1.2 x 6.2 x 9.4 inches,1.6 pounds,,,,,
28,The Complete Guide to Mmx Technology,David Bistry# Carole Dulong# David Bistry# Mickey Gutman# Carole Dulong# Mike Julier# Mickey Gutman# Michael Kieth# Mike Julier# Lawrence M. Mennemeier# Michael Kieth# Millind Mittal# Lawrence M. Mennemeier# Alex D. Peleg# Millind Mittal# Uri Weiser# Alex D. Peleg,$0.04 ,1st Edition,,978-0070061927,70061920,313 pages,,McGraw-Hill/TAB Electronics,McGraw-Hill/TAB Electronics,,,English,7.3 x 1 x 9 inches,1.4 pounds,,,,,
29,High-Speed Cable Modems,Albert A. Azzam,$1.33 ,,,978-0070064171,70064172,570 pages,McGrow-Hill Series on Computer Communications,McGraw-Hill Companies ,McGraw-Hill Companies,,,English,9.1 x 7.4 x 1.6 inches,2.2 pounds,,,,,
30,"Neural Network Fundamentals with Graphs, Algorithms, and Applications ",Nirmal K. Bose# N. K. Bose# Ping Liang,$5.10 ,,,978-0070066182,70066183,,McGraw-Hill Series in Electrical & Computer Engineering,McGraw-Hill Companies ,McGraw-Hill Companies,,,English,9.5 x 6.7 x 1 inches,1.6 pounds,,,,,
31,Software Engineering Environments: Concepts and Technology,Robert Charette,$5.29 ,First Edition Edition,,978-0070106451,70106452,,,Mcgraw-Hill ,Mcgraw-Hill,,,English,9.1 x 6.1 x 1.3 inches,1.8 pounds,,,,,
32,Build Your Own Z80 Computer,Steve Ciarcia,$34.88 ,,,978-0070109629,70109621,352 pages,,Computing Mcgraw-Hill ,Computing Mcgraw-Hill,,,English,8.4 x 0.7 x 11.4 inches,1.8 pounds,,,,,
33,ADA as a Second Language ,Norman H. Cohen# Norman Cohen,$1.11 ,,,978-0070115897,70115893,838 pages,McGraw-Hill series in software engineering and technology,"McGraw-Hill Inc.,US ","McGraw-Hill Inc.,US",,,English,6.4 x 1.3 x 9.1 inches,2.5 pounds,,,,,
34,Soft-Logic: A Guide to Using a Personal Computer As A Programmable Logic Controller,Robert S. Carrow,$2.40 ,,,978-0070140172,70140170,,,Mcgraw-Hill ,Mcgraw-Hill,,,English,1 x 8 x 9.8 inches,1.9 pounds,,,,,
35,Linear Control System Analysis And Design: Conventional and Modern,John D'Azzo# Constantine Houpis# John D'Azzo,$8.52 ,4 Sub Edition,,978-0070163218,70163219,,McGraw-Hill Series in Electrical & Computer Engineering,McGraw-Hill Companies,McGraw-Hill Companies,,,English,9.6 x 6.7 x 1.4 inches,2.6 pounds,,,,,
36,Intuitive Digital Computer Basics: An Introduction to the Digital World ,Thomas M. Frederiksen,$18.38 , ,,978-0070219656,70219656,352 pages,Mcgraw-Hill Series in Intuitive Electronics,Mcgraw-Hill ,Mcgraw-Hill,,,English,6.5 x 9.8 inches,12 ounces,,,,,
37,SONET: A Guide to Synchronous Optical Network ,Walter Goralski,$6.94 , ,,978-0070245631,70245630,432 pages,Mcgraw-Hill Series on Computer Communications,Mcgraw-Hill ,Mcgraw-Hill,,,English,1.2 x 7.5 x 9.2 inches,2.2 pounds,,,,,
38,ADSL and DSL Technologies,Walter J. Goralski,$35.99 , ,,978-0070246799,70246793,448 pages,McGraw-Hill Series on Computer Communications,McGraw-Hill Companies ,McGraw-Hill Companies,,,English,9.2 x 7.4 x 1.1 inches,2.2 pounds,,,,,
39,"How to Design Self-Directed and Distance Learning Programs: A Guide for Creators of Web-Based Training, Computer-Based Training, and Self-Study Materials",Nigel Harrison,$0.41 ,,,978-0070271005,70271003,360 pages,,McGraw-Hill,McGraw-Hill,,,English,7.3 x 0.9 x 9.1 inches,1.6 pounds,,,,,
40,Computer Methods for Solving Dynamic Separation Problems ,Charles Donald Holland,$0.01 , ,,978-0070295735,70295735,,Mcgraw Hill Chemical Engineering Series,Mcgraw-Hill College ,Mcgraw-Hill College,,,English,9.1 x 6.6 x 1.1 inches,1.7 pounds,,,,,
41,Computer Hardware Diagnostics for Engineers,Ronald E. Howland# Ronald Howland,$1.10 , ,,978-0070305618,70305617,,Computer Engineering Series,Mcgraw-Hill ,Mcgraw-Hill,,,English,1 x 6.8 x 9.8 inches,1.1 pounds,,,,,
42,"Advanced Computer Architecture: Parallelism, Scalability, Programmability",Kai Hwang,$14.90 ,1st Edition,,978-0070316225,70316228,,McGraw-Hill Computer Science Series,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,7.8 x 1.6 x 9.6 inches,1.6 pounds,,,,,
43,Ethical Decision Making & Information Technology: An Introduction with Cases,John P Grillo# Ernest A. Kallman# John P Grillo,$12.99 ,2nd Edition,,978-0070340909,70340900,140 pages,,McGraw-Hill/Irwin,McGraw-Hill/Irwin,,,English,7.2 x 0.5 x 9 inches,9.6 ounces,,,,,
44,Computer Control of Manufacturing Systems,Yoram Koren,$0.32 , ,,978-0070353411,70353417,,,Mcgraw-Hill College ,Mcgraw-Hill College,,,English,1 x 7 x 9.8 inches,1.2 pounds,,,,,
45,Schaum's Outline of Essential Computer Mathematics,Seymour Lipschutz,$12.00 ,1st Edition,,978-0070379909,70379904,256 pages,Schaum's Outlines,McGraw-Hill Education,McGraw-Hill Education,,,English,8.2 x 0.7 x 10.9 inches,1.6 pounds (View shipping rates and policies),,,,,
46,Computer Numerical Control for Machining,Michael Lynch,$5.39 ,1st Edition,,978-0070392236,70392234,,,McGraw-Hill Professional,McGraw-Hill Professional,,,English,6.1 x 1.2 x 9.1 inches,1.7 pounds,,,,,
47,Computer Programmes for Computational Assistance in the Study of Linear Control Theory,James L. Melsa# Stephen K. Jones,$0.01 ,,,978-0070414983,007041498X,,,"McGraw-Hill Inc.,US","McGraw-Hill Inc.,US",,,English,8.8 x 6 x 0.7 inches,13.6 ounces,,,,,
48,Linear Control Systems,James Melsa# Donald Schultz# James Melsa,$51.06 ,Rev Sub Edition,,978-0070415256,70415250,,Mcgraw-Hill Series in Electrical and Computer Engineering. Computer Engineering,Mcgraw-Hill College,Mcgraw-Hill College,,,English,1 x 7 x 9.8 inches,1.9 pounds,,,,,
49,Beyond IBM,Lou Mobley# Kate McKeown,$0.01 ,,,978-0070426252,70426252,,,Mcgraw-Hill ,Mcgraw-Hill,,,English,9.3 x 5.9 x 1.1 inches,1.3 pounds,,,,,
50,"Video Dialtone Technology: Digital Video over Adsl, Hfc, Fttc, and Atm ",Daniel Minoli,$0.74 , ,,978-0070427242,70427240,,McGraw-Hill Series on Computer Communications,Mcgraw-Hill ,Mcgraw-Hill,,,English,1.5 x 6.8 x 9.8 inches,1.9 pounds,,,,,
51,Digital Signal Processing: A Computer-Based Approach ,Sanjit K. Mitra,$1.53 , ,,978-0070429536,70429537,,Mcgraw-Hill Series in Electrical and Computer Engineering,Mcgraw-Hill College ,Mcgraw-Hill College,,,English,1.5 x 8.2 x 9.5 inches,3.2 pounds,,,,,
52,Principles of Interactive Computer Graphics ,William M. Newman,$7.98 ,2nd Edition,,978-0070463387,70463387,,McGraw-Hill computer science series,Mcgraw-Hill College,Mcgraw-Hill College,,,English,9.3 x 6.5 x 1.2 inches,1.8 pounds,,,,,
53,Vhdl: Analysis and Modeling of Digital Systems ,Zainalabedin Navabi,$0.23 ,,,978-0070464728,70464723,,Mcgraw Hill Series in Electrical and Computer Engineering,Mcgraw-Hill College ,Mcgraw-Hill College,,,English,0.8 x 6.8 x 9.8 inches,1.5 pounds,,,,,
54,Computer Applications in Construction ,Boyd C. Paulson,$3.50 ,,,978-0070489677,007048967X,,Mcgraw Hill Series in Construction Engineering and Project Management,Mcgraw-Hill College ,Mcgraw-Hill College,,,English,1 x 7 x 9.8 inches,2 pounds,,,,,
55,Design With Microcontrollers ,John B. Peatman,$12.95 ,First Edition,,978-0070492387,70492387,,Mcgraw Hill Series in Electrical and Computer Engineering,Mcgraw-Hill College,Mcgraw-Hill College,,,English,1.2 x 7 x 9.8 inches,2.2 pounds,,,,,
56,Graphical User Interfaces and Graphic Standards ,Jon Peddie,$29.95 ,,,978-0070492547,70492549,,Computer Graphics Technology and Management Series,Computing Mcgraw-Hill ,Computing Mcgraw-Hill,,,English,0.8 x 7.8 x 9.5 inches,1.3 pounds (View shipping rates and policies),,,,,
57,Mathematical Elements for Computer Graphics,David F. Rogers# J. Alan Adams,$3.24 ,,,978-0070535299,70535299,,,Mcgraw-Hill College,Mcgraw-Hill College,,,English,1.2 x 7 x 9.8 inches,1.6 pounds,,,,,
58,Mechanical Devices for the Electronics Experimenter,C. Britton Rorabaugh,$1.98 ,1st Edition,,978-0070535473,70535477,237 pages,,McGraw-Hill Education TAB,McGraw-Hill Education TAB,,,English,7.3 x 0.6 x 9.2 inches,15.5 ounces (View shipping rates and policies),,,,,
59,Transmission Lines in Computer Engineering,Sol Rosenstark,$59.99 ,,,978-0070539532,70539537,,Computer Engineering,Mcgraw-Hill ,Mcgraw-Hill,,,English,1 x 6.2 x 9.5 inches,1.7 pounds,,,,,
60,"Information Transmission, Modulation and Noise",Mischa Schwartz,$32.95 ,4 Sub Edition,,978-0070559097,70559090,,Mcgraw Hill Series in Electrical and Computer Engineering,Mcgraw-Hill College,Mcgraw-Hill College,,,English,1.5 x 7 x 9.8 inches,2.5 pounds,,,,,
61,Computer Structures: Principles and Examples ,Daniel P. Siewiorek# C. Gordon Bell# Daniel P. Siewiorek# Allen Newell# C. Gordon Bell,$9.25 ,2nd Edition,,978-0070573024,70573026,,McGraw-Hill computer science series,Mcgraw-Hill College,Mcgraw-Hill College,,,English,1.8 x 8.8 x 9.8 inches,4.4 pounds,,,,,
62,How to Be a Successful Computer Consultant,Alan R. Simon,$0.97 ,,,978-0070576186,70576181,300 pages,,Computing Mcgraw-Hill,Computing Mcgraw-Hill,,,English,0.8 x 6 x 9 inches,14.4 ounces,,,,,
63,"Computer Assisted Analysis of Aircraft Performance, Stability and Control",Frederick O. Smetana,$0.00 , ,,978-0070584419,70584419,625 pages,,Mcgraw-Hill College ,Mcgraw-Hill College,,,English,,1.7 pounds,,,,,
64,Modern Communication Circuits,Jack R Smith,$18.98 ,2nd Edition,,978-0070592834,70592837,,McGraw-Hill Series in Electrical and Computer Engineering,McGraw-Hill Science/Engineering/Math,McGraw-Hill Science/Engineering/Math,,,English,6.6 x 1.3 x 9.3 inches,2.4 pounds,,,,,
65,Who Knows: Safeguarding Your Privacy in a Networked World,Ann Cavoukian# Don Tapscott,$0.01 ,,,978-0070633209,70633207,,,McGraw-Hill ,McGraw-Hill,,,English,9.3 x 6.3 x 0.9 inches,1.6 pounds,,,,,
66,Digital Control,Richard J. Vaccaro,$0.00 , ,,978-0070667815,70667810,,Mcgraw Hill Series in Electrical and Computer Engineering,Mcgraw-Hill College ,Mcgraw-Hill College,,,English,1 x 6.8 x 9.8 inches,1.4 pounds,,,,,
67,Numerical Optimization Techniques for Engineering Design: With Applications ,Garret N. Vanderplaats,$39.00 ,1st Edition,,978-0070669642,70669643,,Mcgraw Hill Series in Mechanical Engineering,Mcgraw-Hill College,Mcgraw-Hill College,,,English,0.8 x 7 x 9.8 inches,1.4 pounds,,,,,
68,Client/Server System Design & Implementation ,Larry Vaughn,$0.01 ,,,978-0070673755,70673756,,McGraw-Hill Series on Computer Communications,McGraw-Hill Companies,McGraw-Hill Companies,,,English,9.3 x 6.1 x 1 inches,1.3 pounds,,,,,
69,Computer Aided Drafting and Design: Concepts and Applications,Donald D. Voisinet,$3.41 ,5th Edition,,978-0070675650,70675651,,,Gregg/Community College Div,Gregg/Community College Div,,,English,7.6 x 0.8 x 9.4 inches,1.8 pounds,,,,,
70,Techno Vision II: Every Executive's Guide to Understanding and Mastering Technology and the Internet,Charles B. Wang# Philip Howard# Charles B. Wang,$0.01 ,,,978-0070681699,70681694,,,Mcgraw-Hill,Mcgraw-Hill,,,English,1.2 x 5.2 x 8.2 inches,12 ounces,,,,,
71,Digital Space: Designing Virtual Environments,Peter Weishar,$1.28 ,1st Edition,,978-0070696112,007069611X,240 pages,,McGraw-Hill Professional,McGraw-Hill Professional,,,English,7.3 x 0.8 x 9 inches,5.9 ounces,,,,,
72,Database Design ,Gio Wiederhold,$6.15 ,2 Sub Edition,,978-0070701328,70701326,,Mcgraw Hill Computer Science Series,Mcgraw-Hill College,Mcgraw-Hill College,,,English,1.5 x 6.8 x 9.8 inches,2.4 pounds,,,,,
73,Digital Signal Processing: WITH DSP Laboratory Using MATLAB: A Computer-Based Approach ,Sanjit K. Mitra,$7.75 ,2nd Edition,,978-0071226073,71226079,877 pages,McGraw-Hill Series in Electrical and Computer Engineering,"McGraw-Hill Inc.,US","McGraw-Hill Inc.,US",,,English,9.1 x 7.2 x 1.3 inches,2.8 pounds,,,,,
74,Object-Oriented Technology: From Diagram to Code with Visual Paradigm for UML,Curtis HK Tsang# Clarence SW Lau# Curtis HK Tsang# Ying K Leung,$66.59 ,,,978-0071240468,71240462,456 pages,,McGraw-Hill Education ,McGraw-Hill Education,,,English,33.5 x 9.8 x 13.8 inches,1.8 pounds,,,,,
75,Sap R/3 Ale & Edi Technologies ,Rajeev Kasturi,$0.03 ,,,978-0071347303,71347305,334 pages,Sap Technical Expert Series,Computing Mcgraw-Hill,Computing Mcgraw-Hill,,,English,1 x 7.8 x 9.5 inches,1.4 pounds,,,,,
76,Video Engineering ,Arch Luther# Andrew Inglis# Arch Luther,$53.36 ,3rd Edition,,978-0071350174,71350179,,McGraw-Hill Video/Audio Engineering,McGraw-Hill Education,McGraw-Hill Education,,,English,7.6 x 1.7 x 9.4 inches,2.6 pounds (View shipping rates and policies),,,,,
77,Fire in the Valley: The Making of The Personal Computer ,Paul Freiberger# Michael Swaine,$0.98 ,,,978-0071358927,71358927,463 pages,,McGraw-Hill Companies,McGraw-Hill Companies,,,English,9.2 x 7.4 x 1.6 inches,2.4 pounds,,,,,
78,Computer Telephony Demystified,Michael Bayer,$5.00 ,1st Edition,,978-0071359870,71359877,,Demystified,McGraw-Hill Professional,McGraw-Hill Professional,,,English,7.2 x 2.2 x 9.1 inches,3.8 pounds,,,,,
79,The Compleat Guide to Day Trading Stocks,Jake Bernstein,$40.00 ,1st Edition,,978-0071361255,71361251,,Compleat Day Trader,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 0.9 x 9.3 inches,1.6 pounds,,,,,
80,Schaum's Outline of Computer Architecture ,Nick Carter,$12.00 - $17.07,1st Edition,,978-0071362078,007136207X,306 pages,Schaum's Outlines,McGraw-Hill Education,McGraw-Hill Education,,,English,8 x 0.7 x 10.7 inches,1.6 pounds (View shipping rates and policies),,,,,
81,E-Learning: Strategies for Delivering Knowledge in the Digital Age,Marc J. Rosenberg,$22.99 ,1st Edition,,978-0071362689,71362681,,,McGraw-Hill Education,McGraw-Hill Education,,,English,6 x 1.2 x 9.1 inches,1.4 pounds (View shipping rates and policies),,,,,
82,Schaum's Outline of Computer Networking,Ed Tittel,$15.15 ,1st Edition,,978-0521782586,71362851,304 pages,Schaum's Outlines,McGraw-Hill Education,McGraw-Hill Education,,,English,8.3 x 0.7 x 10.8 inches,1.3 pounds (View shipping rates and policies),,,,,
83,Web-Based Human Resources,Alfred Walker,$3.99 - $40.00,1st Edition,,978-0071365154,007136515X,,,McGraw-Hill Education,McGraw-Hill Education,,,English,6.5 x 1.1 x 9.4 inches,1.4 pounds (View shipping rates and policies),,,,,
84,M-Commerce Crash Course: The Technology and Business of Next Generation Internet Services,P. J. Louis,$30.36 ,1st Edition,,978-0071369947,71369945,345 pages,McGraw-Hill Telecom Portable Consultant,McGraw-Hill Professional,McGraw-Hill Professional,,,English,6 x 0.8 x 8.9 inches,1.2 pounds (View shipping rates and policies),,,,,
85,Corporate Portals and eBusiness Integration,Mark Davydov,$37.95 ,,,,,,,,,,,,,,,,,,
86,Beyond &quot;e&quot;: 12 Ways Technology is Transforming Sales & Marketing,Stephen Diorio,$0.01 ,,,978-0071376495,71376496,,,McGraw-Hill,McGraw-Hill,,,English,6.2 x 1.2 x 9.1 inches,1.4 pounds,,,,,
87,The Complete Book of Electronic Security,Bill Phillips,$26.12 ,1st Edition,,978-0071380188,71380183,,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.6 x 0.9 x 9.5 inches,1.8 pounds (View shipping rates and policies),,,,,
88,Locksmithing and Electronic Security Wiring Diagrams,John Schum,$29.73 ,1st Edition,,978-0071393058,71393056,275 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 0.6 x 9.3 inches,1 pounds (View shipping rates and policies),,,,,
89,Metro Area Networking ,Steven Shepard,$45.00 ,1st Edition,,978-0071399142,71399143,327 pages,McGraw-Hill Networking Professional,McGraw-Hill Professional,McGraw-Hill Professional,,,English,7.3 x 0.9 x 9 inches,1.4 pounds (View shipping rates and policies),,,,,
90,Networking Technologies for Cabling Professionals,BICSI,$18.72 ,1st Edition,,978-0071399173,71399178,,BICSI Press,McGraw-Hill Professional,McGraw-Hill Professional,,,English,7.4 x 1.2 x 9.3 inches,1.7 pounds,,,,,
91,Complete Digital Design: A Comprehensive Guide to Digital Electronics and Computer System Architecture ,Mark Balch,$0.00 ,Metric Edition,,978-0071409278,71409270,,Professional Engineering,McGraw-Hill Professional,McGraw-Hill Professional,,,English,7.5 x 1.6 x 9.3 inches,2.1 pounds,,,,,
92,Wi-Fi Handbook : Building 802.11b Wireless Networks,Frank Ohrtman# Konrad Roeder,$52.76 ,1st Edition,,978-0071412513,71412514,363 pages,McGraw-Hill Networking Professional,McGraw-Hill Professional,McGraw-Hill Professional,,,English,7.3 x 1 x 9 inches,12.6 ounces (View shipping rates and policies),,,,,
93,"Digital Animation Bible: Creating Professional Animation with 3ds Max, Lightwave, and Maya",George Avgerakis,$7.99 ,1st Edition,,978-0071414944,71414940,330 pages,Digital Video and Audio,McGraw-Hill/TAB Electronics,McGraw-Hill/TAB Electronics,,,English,7.1 x 0.8 x 9.1 inches,1.4 pounds,,,,,
94,CNC Robotics: Build Your Own Workshop Bot,Geoff Williams,$24.08 ,1st Edition,,978-0071418287,71418288,311 pages,Tab Robotics,McGraw-Hill Education TAB,McGraw-Hill Education TAB,,,English,7.3 x 1 x 9.1 inches,1.5 pounds (View shipping rates and policies),,,,,
95,Digital Audio Workstation,Colby N. Leider,$30.78 ,,,,,,,,,,,,,,,,,,
96,Digital Video Compression ,Peter Symes,$35.96 ,1st Edition,,978-0071424875,71424873,400 pages,Digital Video/Audio,McGraw-Hill/TAB Electronics,McGraw-Hill/TAB Electronics,,,English,7.3 x 0.8 x 9.2 inches,1.9 pounds,,,,,
97,PDA Security : Incorporating Handhelds into the Enterprise,David Melnick# Inc. Asynchrony Solutions# Mark Dinman# Inc. Asynchrony Solutions# Alexander Muratov# Mark Dinman,$2.70 - $43.95,1st Edition,,978-0071424905,71424903,378 pages,One Off,McGraw-Hill Professional,McGraw-Hill Professional,,,English,6 x 1 x 8.9 inches,1.4 pounds (View shipping rates and policies),,,,,
98,McGraw-Hill Dictionary of Electrical & Computer Engineering,McGraw-Hill,$19.95 ,1st Edition,,978-0071442107,71442103,504 pages,,McGraw-Hill Professional,McGraw-Hill Professional,,,English,5.5 x 1.5 x 8.4 inches,1.7 pounds (View shipping rates and policies),,,,,
99,Managing Cybersecurity Resources: A Cost-Benefit Analysis ,Lawrence Gordon# Martin Loeb# Lawrence Gordon,$0.00 ,1st Edition,,978-0071452854,71452850,,The Mcgraw-Hill Homeland Security Series,McGraw-Hill Education,McGraw-Hill Education,,,English,6 x 0.9 x 9.1 inches,1 pounds,,,,,
100,Schaum's Outline of Principles of Computer Science ,Paul Tymann# Carl Reynolds,$10.99 ,1st Edition,,978-0071460514,71460519,240 pages,Schaum's Outlines,McGraw-Hill Education,McGraw-Hill Education,,,English,8.2 x 0.4 x 10.8 inches,1.4 pounds (View shipping rates and policies),,,,,
101,"Signaling System #7, Fifth Edition ",Travis Russell,$66.46 ,5th Edition,,,,,,,,,,,,,,,,,
102,"Robot Builder's Bonanza, Third Edition",Gordon McComb# Myke Predko,$16.17 ,3rd Edition,,978-0071468930,71468935,733 pages,Robot Builder's Bonanza,McGraw-Hill/TAB Electronics,McGraw-Hill/TAB Electronics,,,English,7.3 x 1.5 x 9.3 inches,2.9 pounds,,,,,
103,Electronics Sensors for the Evil Genius: 54 Electrifying Projects,Thomas Petruzzellis,$0.00 ,1st Edition,,978-0071470360,71470360,330 pages,Evil Genius,McGraw-Hill/TAB Electronics,McGraw-Hill/TAB Electronics,,,English,8.4 x 0.4 x 10.8 inches,1.6 pounds,,,,,
104,Programming and Customizing the PIC Microcontroller ,Myke Predko,$32.78 ,3rd Edition,,978-0071472876,71472878,1263 pages,Tab Electronics,McGraw-Hill Education TAB,McGraw-Hill Education TAB,,,English,7.4 x 1.8 x 9.2 inches,4.1 pounds (View shipping rates and policies),,,,,
105,CNET Do-It-Yourself Camera and Music Phone Projects: 24 Cool Things You Didn't Know You Could Do!,Ari Hakkarainen,$23.28 ,,,,,,,,,,,,,,,,,,
106,Session Initiation Protocol ,Travis Russell,$71.19 ,1st Edition,,978-0071488525,71488529,,McGraw-Hill Communication Series,McGraw-Hill Education,McGraw-Hill Education,,,English,7.6 x 0.9 x 9.5 inches,1.5 pounds (View shipping rates and policies),,,,,
107,Microsoft Windows Server 2008 Administration,Steve Seguis,$35.39 ,1st Edition,,978-0071493260,71493263,488 pages,,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 1 x 9.1 inches,1.6 pounds (View shipping rates and policies),,,,,
108,Microsoft® Office SharePoint® Server 2007: The Complete Reference,David Sterling,$41.60 ,1st Edition,,978-0071493284,007149328X,788 pages,The Complete Reference,McGraw-Hill Education,McGraw-Hill Education,,,English,7.3 x 1.6 x 9.1 inches,2.9 pounds (View shipping rates and policies),,,,,
