#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
#ltable=POINTER
_id,ltable.ID,rtable.ID,ltable.Title,ltable.Author,ltable.ISBN_13,ltable.Publisher,rtable.Title,rtable.Author,rtable.ISBN_13,rtable.Publisher,gold
29074,184,9971,"Kinect Open Source Programming Secrets: Hacking the Kinect with OpenNI, NITE, and Java",Andrew Davison,,,"Kinect Open Source Programming Secrets: Hacking the Kinect with OpenNI, NITE, and Java",Andrew Davison,978-0071783170,McGraw-Hill Professional Publishing,1
29099,185,6278,Genealogy QuickSteps,Marty Matthews# Bobbi Sandberg# Marty Matthews,978-0071784207,McGraw-Hill Education,Genealogy,Marty Matthews# Bobbi Sandberg,978-0071784207,McGraw-Hill Professional Publishing,1
29515,191,3784,CompTIA Network+ Certification Practice Exams,Robb Tracy,978-0071788816,McGraw-Hill Education,CompTIA Network+ Certification Practice Exams (Exam N10-005),Robb Tracy,978-0071788809,McGraw-Hill Education,1
29551,192,2081,"Mike Meyers' CompTIA Network+ Guide to Managing and Troubleshooting Networks Lab Manual, 3rd Edition",Mike Meyers# Dennis Haley# Mike Meyers,978-0071788830,McGraw-Hill Education,"Mike Meyers' CompTIA Network+ Guide to Managing and Troubleshooting Networks, 3rd Edition (Exam N10-005)",Mike Meyers,978-0071799812,McGraw-Hill Education,0
31072,201,869,"Mike Meyers' CompTIA A+ Guide to 802 Managing and Troubleshooting PCs Lab Manual, Fourth Edition",Mike Meyers,978-0071795159,McGraw-Hill Education,"Mike Meyers' CompTIA A+ Guide to Managing and Troubleshooting PCs Lab Manual, Fourth Edition (Exams 220-801 &amp; 220-802) / Edition 4",Mike Meyers,978-0071795555,McGraw-Hill Professional Publishing,0
31117,202,2408,"Mike Meyers' CompTIA A+ Guide to 801 Managing and Troubleshooting PCs Lab Manual, Fourth Edition",Mike Meyers,978-0071795173,McGraw-Hill Education,"Mike Meyers' CompTIA Network+ Guide to Managing and Troubleshooting Networks Lab Manual, Fourth Edition (Exam N10-006)",Mike Meyers# Jonathan Weissman,978-0071844604,McGraw-Hill Professional Publishing,0
33439,218,1328,Born to Blog: Building Your Blog for Personal and Business Success One Post at a Time,Mark Schaefer# Stanford Smith,,,Born to Blog: Building Your Blog for Personal and Business Success One Post at a Time,Mark Schaefer# Stanford Smith,978-0071811163,McGraw-Hill Professional Publishing,1
34942,228,109,CompTIA Mobility+ Certification All-in-One Exam Guide,Bobby E. Rogers,978-0071825320,McGraw-Hill Education,CompTIA A+ Certification All-in-One For Dummies,Glen E. Clarke# Edward Tetz,978-1118098790,Wiley,0
36238,239,567,"CompTIA Security+ Certification Bundle, Second Edition",Glen E. Clarke# Daniel Lachance# Glen E. Clarke,978-0071834261,McGraw-Hill Education,"CompTIA Security+ Certification Study Guide, Second Edition (Exam SY0-401)",Glen E. Clarke,978-0071841283,McGraw-Hill Professional Publishing,0
36747,246,4649,"CompTIA Security+ Certification Study Guide, Second Edition",Glen E. Clarke,978-0071841283,McGraw-Hill Education,CompTIA Security+ Certification Study Guide (Exam SY0-301),Glen E. Clarke,978-0071771399,McGraw-Hill Education,0
37243,251,3867,People-Centric Security: Transforming Your Enterprise Security Culture,Lance Hayden,978-0071846776,McGraw-Hill Education,People-Centric Security: Transforming Your Enterprise Security Culture,Lance Hayden,978-0071846776,McGraw-Hill Professional Publishing,1
40738,263,6309,How to Do Everything with Your Visor,Dave Johnson# Rick Broida,978-0072193923,McGraw-Hill Companies,How To Do Everything With Your Scanner,Dave Huss# Jill Gilbert# Jill How Gilbert,978-0072228915,McGraw-Hill/OsborneMedia,0
40786,263,9585,How to Do Everything with Your Visor,Dave Johnson# Rick Broida,978-0072193923,McGraw-Hill Companies,How To Do Everything With Your Digital Camera,Dave Johnson,978-0072127720,McGraw-Hill/OsborneMedia,0
40905,264,34,"A+ Certification All-in-One Exam Guide, 4th Edition",Michael Meyers,978-0072222746,McGraw-Hill Osborne Media,"CompTIA Network+ All-In-One Exam Guide, Sixth Edition (Exam N10-006)",Mike Meyers,978-0071848220,McGraw-Hill Professional Publishing,0
41051,264,6947,"A+ Certification All-in-One Exam Guide, 4th Edition",Michael Meyers,978-0072222746,McGraw-Hill Osborne Media,Cisco QOS Exam Certification Guide,Wendell Odom# Michael J. Cavanaugh,978-1587201240,Cisco Press,0
47222,299,6309,"How to Do Everything with Your Palm Powered Device, Sixth Edition",Dave Johnson# Rick Broida,978-0072263794,McGraw-Hill Osborne Media,How To Do Everything With Your Scanner,Dave Huss# Jill Gilbert# Jill How Gilbert,978-0072228915,McGraw-Hill/OsborneMedia,0
51846,345,2861,"Microsoft Office Word 2010: A Case Approach, Introductory",Linda O'Leary# Timothy O'Leary# Linda O'Leary,978-0077331283,McGraw-Hill Education,"Microsoft Office 2010: A Case Approach, Introductory / Edition 1",Linda O'Leary# Timothy O'Leary# O'Leary Linda,978-0073519302,McGraw-Hill Higher Education,0
51874,345,7530,"Microsoft Office Word 2010: A Case Approach, Introductory",Linda O'Leary# Timothy O'Leary# Linda O'Leary,978-0077331283,McGraw-Hill Education,"The O'Leary Series: Microsoft Office Word 2013, Introductory / Edition 1",Linda O'Leary# Timothy O'Leary,978-0077400217,McGraw-Hill Professional Publishing,0
52360,349,6815,Accounting Information Systems,Robert Hurt,978-0078025884,McGraw-Hill Education,Information Systems Auditing: The IS Audit Follow-up Process,Robert E. Davis,294-0032859956,Robert E. Davis,0
56278,386,3497,"The Designer's Guide to VHDL, Third Edition",Peter J. Ashenden,978-0120887859,Morgan Kaufmann,The Designer's Guide to VHDL / Edition 3,Peter J. Ashenden,978-0120887859,Elsevier Science,1
60860,397,7241,An Introduction to Ray Tracing,Eric Haines# Pat Hanrahan# Robert L. Cook# Pat Hanrahan# James Arvo# Robert L. Cook# David Kirk# James Arvo# Paul S. Heckbert# David Kirk# Andrew S. Glassner# Paul S. Heckbert,978-0122861604,Academic Press,Introduction to UNIX / Edition 2,David I. Schwartz,978-0130613080,Prentice Hall,0
61807,402,4461,Letting Go of the Words: Writing Web Content that Works,Janice (Ginny) Redish,978-0123694867,Morgan Kaufmann,Letting Go of the Words: Writing Web Content that Works / Edition 1,Janice (Ginny) Redish,978-0123694867,Elsevier Science,1
64497,422,2386,Computer and Information Security Handbook,John R. Vacca,978-0123743541,Morgan Kaufmann,Managing Information Security,John R. Vacca,978-0124166882,Elsevier Science,0
65024,425,199,"Computer Organization and Design, Fourth Edition: The Hardware/Software Interface",David A. Patterson# John L. Hennessy,978-0123747501,Morgan Kaufmann,Computer Organization and Design: The Hardware/Software Interface / Edition 5,David A. Patterson,978-0124077263,Elsevier Science,0
66860,434,6953,Pervasive Information Architecture: Designing Cross-Channel User Experiences,Andrea Resmini# Luca Rosati,978-0123820945,Morgan Kaufmann,Pervasive Information Architecture: Designing Cross-Channel User Experiences,Andrea Resmini# Luca Rosati,978-0123820945,Elsevier Science,1
71691,456,1908,"Designing with the Mind in Mind, Second Edition: Simple Guide to Understanding User Interface Design Guidelines",Jeff Johnson,978-0124079144,Morgan Kaufmann,Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Guidelines / Edition 2,Jeff Johnson,978-0124079144,Elsevier Science,1
76074,483,4023,"Digital Picture Processing, Volume 1, Second Edition",Azriel Rosenfeld# Avinash C. Kak# A. C. Kak,978-0125973014,Morgan Kaufmann,Digital Image Processing / Edition 3,Rafael C. Gonzalez# Richard E. Woods# Richard E. Woods,978-0131687288,Prentice Hall,0
81541,517,1094,Information Technology: Inside and Outside,David Cyganski# John A. Orr# Richard F. Vaz# John A. Orr,978-0130114969,Prentice Hall,Health Information Technology & Management / Edition 1,Richard Gartee,978-0131592674,Prentice Hall,0
88843,547,9321,Practical Statistics by Example Using Microsoft Excel and Minitab,Terry L. Sincich# David M. Levine# David F. Stephan,978-0130415219,Pearson,Practical Statistics by Example Using Microsoft Excel and Minitab / Edition 2,Terry L. Sincich# David M. Levine# David Stephan,978-0130415219,Pearson,1
106420,619,3916,UNIX Shells by Example,Ellie Quigley,978-0131475724,Prentice Hall,UNIX Shells by Example / Edition 4,Ellie Quigley,978-0131475724,Prentice Hall,1
107759,626,1416,Information Security: Principles and Practices,Mark S. Merkow# James Breithaupt,978-0131547292,Prentice Hall,Wireless Communications: Principles and Practice / Edition 2,Theodore S. Rappaport,978-0130422323,Prentice Hall,0
121260,691,7585,Computer Literacy for IC3 Unit 3: Living Online,John Preston# Sally Preston# John Preston# Robert Ferrett# Sally Preston,978-0133028607,Prentice Hall,Computer Literacy for IC3 Unit 3: Living Online / Edition 2,John Preston# Sally Preston# Robert Ferrett,978-0133028607,Prentice Hall,1
124506,705,3424,"Exploring: Microsoft PowerPoint 2013, Introductory",MaryAnne Poatsy# Amy M. Rutledge# MaryAnne Poatsy# Robert T. Grauer# Amy M. Rutledge,978-0133406436,Prentice Hall,Microsoft Excel 2013: Introductory,Steven M. Freund,978-1285168562,Cengage Learning,0
124542,705,4165,"Exploring: Microsoft PowerPoint 2013, Introductory",MaryAnne Poatsy# Amy M. Rutledge# MaryAnne Poatsy# Robert T. Grauer# Amy M. Rutledge,978-0133406436,Prentice Hall,"Exploring: Microsoft Excel 2013, Introductory / Edition 1",Mary Anne Poatsy# Keith Mulbery# Robert T. Grauer,978-0133412178,Prentice Hall,0
124788,705,937,"Exploring: Microsoft PowerPoint 2013, Introductory",MaryAnne Poatsy# Amy M. Rutledge# MaryAnne Poatsy# Robert T. Grauer# Amy M. Rutledge,978-0133406436,Prentice Hall,"Exploring: Microsoft Office 2013, Plus / Edition 1",Mary Anne Poatsy# Keith Mulbery# Cynthia Krebs# Eric Cameron,978-0133412161,Prentice Hall,0
124838,706,6720,GO! with Microsoft PowerPoint 2013 Brief,Shelley Gaskin# Alicia Vargas,978-0133408812,Prentice Hall,GO! with Microsoft Office 2010 Volume 1,Shelley Gaskin# Robert Ferrett# Alicia Vargas# Carolyn E. McLellan,978-0132454469,Prentice Hall,0
125213,707,5912,"Exploring: Microsoft Office 2013, Plus",MaryAnne Poatsy# Keith Mulbery# MaryAnne Poatsy# Cynthia Krebs# Keith Mulbery# Eric Cameron# Jason Davidson# Lynn Hogan# Jason Davidson# Amy M. Rutledge# Lynn Hogan# Jerri Williams# Amy M. Rutledge# Robert Grauer# Jerri Williams,978-0133412161,Prentice Hall,"Exploring: Microsoft PowerPoint 2013, Comprehensive / Edition 1",Mary Anne Poatsy# Amy M. Rutledge# Rebecca Lawson# Robert T. Grauer,978-0133406443,Prentice Hall,0
125270,707,6720,"Exploring: Microsoft Office 2013, Plus",MaryAnne Poatsy# Keith Mulbery# MaryAnne Poatsy# Cynthia Krebs# Keith Mulbery# Eric Cameron# Jason Davidson# Lynn Hogan# Jason Davidson# Amy M. Rutledge# Lynn Hogan# Jerri Williams# Amy M. Rutledge# Robert Grauer# Jerri Williams,978-0133412161,Prentice Hall,GO! with Microsoft Office 2010 Volume 1,Shelley Gaskin# Robert Ferrett# Alicia Vargas# Carolyn E. McLellan,978-0132454469,Prentice Hall,0
126141,712,1441,Exploring Getting Started with Microsoft OneNote for Office 2013,MaryAnne Poatsy# Robert T. Grauer# Linda Pogue# Robert T. Grauer,978-0133434323,Prentice Hall,GO! with Microsoft Office 2013 Getting Started / Edition 1,Shelley Gaskin# Robert Ferrett# Alicia Vargas# Carolyn McLellan,978-0133349788,Prentice Hall,0
132148,740,5998,Cloud Computing Design Patterns,Thomas Erl# Robert Cope# Amin Naserpour# Robert Cope,978-0133858563,Prentice Hall,Cloud Computing Design Patterns,Thomas Erl,978-0133858563,Prentice Hall,1
135984,758,4677,Essential C# 6.0,Mark Michaelis# Eric Lippert# Mark Michaelis,978-0134141046,Addison-Wesley Professional,Essential C# 5.0,Mark Michaelis# Eric Lippert,978-0321877581,Addison-Wesley,0
140658,781,2256,GO! with Microsoft Excel 2010 Introductory,Shelley Gaskin# Alicia Vargas# Suzanne Marks# Alicia Vargas,978-0135098141,Prentice Hall,GO! with Microsoft Excel 2013 Brief / Edition 1,Shelley Gaskin# Alicia Vargas,978-0133414424,Prentice Hall,0
140737,783,159,Exploring Microsoft Office Excel 2010 Introductory,Robert T. Grauer# Mary Anne Poatsy# Keith Mulbery# Mary Anne Poatsy# Lynn Hogan# Keith Mulbery,978-0135098479,Prentice Hall,"Exploring: Microsoft Excel 2013, Comprehensive / Edition 1",Mary Anne Poatsy# Keith Mulbery# Jason Davidson# Robert T. Grauer,978-0133412185,Prentice Hall,0
140804,783,4109,Exploring Microsoft Office Excel 2010 Introductory,Robert T. Grauer# Mary Anne Poatsy# Keith Mulbery# Mary Anne Poatsy# Lynn Hogan# Keith Mulbery,978-0135098479,Prentice Hall,Exploring Microsoft Office Access 2010 Comprehensive,Robert Grauer# Mary Anne Poatsy# Keith Mast# Lynn Hogan,978-0135098257,Prentice Hall,0
140805,783,4138,Exploring Microsoft Office Excel 2010 Introductory,Robert T. Grauer# Mary Anne Poatsy# Keith Mulbery# Mary Anne Poatsy# Lynn Hogan# Keith Mulbery,978-0135098479,Prentice Hall,"Exploring: Microsoft Access 2013, Introductory / Edition 1",Mary Anne Poatsy# Cynthia Krebs# Eric Cameron# Robert T. Grauer,978-0133412192,Prentice Hall,0
152306,825,8591,SOA Governance: Governing Shared Services On-Premise and in the Cloud,Thomas Erl# Stephen G. Bennett# Benjamin Carlyle# Clive Gee# Benjamin Carlyle# Robert Laird# Clive Gee# Anne Thomas Manes# Robert Laird# Robert Moores# Robert Schneider# Leo Shuster# Robert Schneider# Andre Tost# Leo Shuster# Chris Venable# Andre Tost# Filippos Santas# Chris Venable,978-0138156756,Prentice Hall,SOA Governance: Governing Shared Services On-Premise and in the Cloud,Thomas Erl# Stephen G. Bennett# Benjamin Carlyle# Clive Gee,978-0138156756,Prentice Hall,1
156565,836,5443,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,,,"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy,978-0140291773,Penguin Publishing Group,1
162093,866,1971,Getting Started with MATLAB 7: A Quick Introduction for Scientists and Engineers,Rudra Pratap,978-0195179378,Oxford University Press,Getting Started with MATLAB / Edition 8,Rudra Pratap,978-0199731244,"Oxford University Press, USA",0
164524,886,4180,Principles of Computer Hardware,Alan Clements,978-0199273133,Oxford University Press,Principles of Computer Hardware / Edition 4,Alan Clements,978-0199273133,Oxford University Press,1
173580,945,7001,Managing Software Requirements: A Unified Approach,Dean Leffingwell# Don Widrig,978-0201615937,Addison-Wesley Professional,Managing Software Requirements: A Use Case Approach (Addison-Wesley Object Technology Series) / Edition 2,Dean Leffingwell# Don Widrig# Don Widrig,978-0321122476,Addison-Wesley,0
173629,946,9956,Developing WMI Solutions: A Guide to Windows Management Instrumentation,Craig Tunstall# Gwyn Cole,978-0201616132,Addison-Wesley Professional,Developing WMI Solutions: A Guide to Windows Management Instrumentation,Craig Tunstall# Gwyn Cole# Robert L. McDonald,978-0201616132,Addison-Wesley,1
173844,950,1405,Programming in Ada: Plus an Overview of Ada 9X,J. G. P. Barnes,978-0201624076,Addison-Wesley Pub,Programming in Ada 2012,John Barnes,978-1107424814,Cambridge University Press,0
178056,974,2316,Adobe After Effects 5.0: Classroom in a Book,Adobe Creative Team,,,Adobe Photoshop Elements 10 Classroom in a Book,Adobe Creative Team,978-0321811004,Adobe Press,0
178062,974,336,Adobe After Effects 5.0: Classroom in a Book,Adobe Creative Team,,,Adobe Photoshop CC Classroom in a Book / Edition 1,Adobe Creative Team,978-0321928078,Adobe Press,0
181584,1003,2003,Smart Machines: IBM's Watson and the Era of Cognitive Computing,John E. Kelly III# Steve Hamm,,,Smart Machines: IBM's Watson and the Era of Cognitive Computing,John E. Kelly# Steve Hamm,978-0231168564,Columbia University Press,1
185220,1034,2765,Thinking about Video Games: Interviews with the Experts,David S. Heineman,,,Thinking about Video Games: Interviews with the Experts,David S. Heineman,978-0253017154,Indiana University Press,1
189472,1047,1259,Simulation and Its Discontents,Sherry Turkle# William J. Clancey# Stefan Helmreich# William J. Clancey# Yanni A. Loukissas# Stefan Helmreich# Natasha Myers# Yanni A. Loukissas,978-0262012706,The MIT Press,Simulation and Its Discontents,Sherry Turkle# William J. Clancey# Stefan Helmreich# Yanni A. Loukissas,978-0262012706,MIT Press,1
191179,1057,4058,Recoding Gender: Women's Changing Participation in Computing,Janet Abbate,978-0262018067,The MIT Press,Recoding Gender: Women's Changing Participation in Computing,Janet Abbate,978-0262018067,MIT Press,1
208866,1156,346,Humans Need Not Apply: A Guide to Wealth and Work in the Age of Artificial Intelligence,Jerry Kaplan,,,Humans Need Not Apply: A Guide to Wealth and Work in the Age of Artificial Intelligence,Jerry Kaplan,978-0300213553,Yale University Press,1
210758,1169,900,"The New Digital Age: Reshaping the Future of People, Nations and Business",Eric Schmidt# Jared Cohen,978-0307957139,Knopf,"The New Digital Age: Transforming Nations, Businesses, and Our Lives",Eric Schmidt# Jared Cohen,978-0307947055,Knopf Doubleday Publishing Group,0
223509,1239,8058,Adobe Audition 2.0 Classroom in a Book,Adobe Creative Team,978-0321385505,Adobe Press,Adobe Premiere Pro CS5 Classroom in a Book,Adobe Creative Team,978-0321717825,Pearson Education,0
223519,1239,9649,Adobe Audition 2.0 Classroom in a Book,Adobe Creative Team,978-0321385505,Adobe Press,Adobe Premiere Elements 2.0 Classroom in a Book,Adobe Creative Team,978-0132798068,Pearson Education,0
225602,1244,6932,The Craft of System Security,Sean Smith# John Marchesini# Sean Smith,978-0321434838,Addison-Wesley Professional,The Craft of System Security / Edition 1,Sean Smith# John Marchesini,978-0321434838,Addison-Wesley,1
228256,1258,3435,Interactive Computer Graphics: A Top-Down Approach Using OpenGL,Edward Angel,978-0321535863,Addison Wesley,Interactive Computer Graphics with WebGL / Edition 7,Edward Angel# Dave Shreiner,978-0133574845,Pearson,0
228345,1261,147,Adobe Photoshop Lightroom 2 Classroom in a Book,Adobe Creative Team,978-0321555601,Adobe Press,Adobe Photoshop CS6 Classroom in a Book / Edition 1,Adobe Creative Team,978-0321827333,Adobe Press,0
228351,1261,1909,Adobe Photoshop Lightroom 2 Classroom in a Book,Adobe Creative Team,978-0321555601,Adobe Press,Adobe Illustrator CS5 Classroom in a Book,Adobe Creative Team,978-0321701787,Adobe Press,0
228354,1261,2316,Adobe Photoshop Lightroom 2 Classroom in a Book,Adobe Creative Team,978-0321555601,Adobe Press,Adobe Photoshop Elements 10 Classroom in a Book,Adobe Creative Team,978-0321811004,Adobe Press,0
228383,1261,650,Adobe Photoshop Lightroom 2 Classroom in a Book,Adobe Creative Team,978-0321555601,Adobe Press,Adobe Illustrator CC Classroom in a Book / Edition 1,Adobe Creative Team,978-0321929495,Adobe Press,0
228384,1261,657,Adobe Photoshop Lightroom 2 Classroom in a Book,Adobe Creative Team,978-0321555601,Adobe Press,Adobe Dreamweaver CS6 Classroom in a Book / Edition 1,Adobe Creative Team,978-0321822451,Adobe Press,0
228387,1261,704,Adobe Photoshop Lightroom 2 Classroom in a Book,Adobe Creative Team,978-0321555601,Adobe Press,Adobe Photoshop CS6 Digital Classroom,Jennifer Smith# AGI Creative Team,978-1118123898,Wiley,0
228943,1266,1559,Adobe After Effects CS4 Classroom in a Book,Adobe Creative Team,978-0321573834,Adobe Press,Adobe Fireworks CS6 Classroom in a Book,Adobe Creative Team,978-0321822444,Adobe Press,0
229021,1267,336,Adobe Premiere Pro CS4 Classroom in a Book,Adobe Creative Team,978-0321573858,Adobe Press,Adobe Photoshop CC Classroom in a Book / Edition 1,Adobe Creative Team,978-0321928078,Adobe Press,0
229033,1267,4883,Adobe Premiere Pro CS4 Classroom in a Book,Adobe Creative Team,978-0321573858,Adobe Press,Adobe Photoshop Elements 11 Classroom in a Book,Sandee Adobe Creative Team,978-0321883681,Adobe Press,0
229044,1267,650,Adobe Premiere Pro CS4 Classroom in a Book,Adobe Creative Team,978-0321573858,Adobe Press,Adobe Illustrator CC Classroom in a Book / Edition 1,Adobe Creative Team,978-0321929495,Adobe Press,0
229065,1267,9946,Adobe Premiere Pro CS4 Classroom in a Book,Adobe Creative Team,978-0321573858,Adobe Press,Adobe Analytics with SiteCatalyst Classroom in a Book,Sandee Adobe Creative Team# Vidya Subramanian,978-0321926937,Adobe Press,0
229600,1271,5609,The Adobe Photoshop CS4 Book for Digital Photographers,Scott Kelby,978-0321580092,New Riders,The Adobe Photoshop Lightroom Book for Digital Photographers,Scott Kelby,978-0132798167,Pearson Education,0
230214,1273,6247,iMovie 09 and iDVD for Mac OS X: Visual QuickStart Guide,Jeff Carlson,978-0321601322,Peachpit Press,Photoshop Elements 11: Visual QuickStart Guide,Jeff Carlson,978-0321885159,Peachpit Press,0
232365,1282,863,Apple Pro Training Series: Logic Pro 9 Advanced Music Production,David Dvorin# Robert Brock,978-0321647450,Peachpit Press,Apple Pro Training Series: Logic Pro X 10.1: Professional Music Production,David Nahmani,978-0134185736,Peachpit Press,0
233489,1289,3911,The Droid Pocket Guide,Jason D. O'Grady,978-0321711939,Peachpit Press,The Garmin nuvi Pocket Guide,Jason D. O'Grady,978-0321658593,Peachpit Press,0
234684,1294,1090,Keynote for iPad: Visual QuickStart Guide,Tom Negrino,978-0321751393,Peachpit Press,Dreamweaver CC: Visual QuickStart Guide,Tom Negrino# Dori Smith,978-0321929518,Peachpit Press,0
234707,1294,4479,Keynote for iPad: Visual QuickStart Guide,Tom Negrino,978-0321751393,Peachpit Press,JavaScript: Visual QuickStart Guide,Dori Smith# Tom Negrino,978-0321996701,Peachpit Press,0
234726,1294,7615,Keynote for iPad: Visual QuickStart Guide,Tom Negrino,978-0321751393,Peachpit Press,JavaScript: Visual QuickStart Guide,Tom Negrino# Dori Smith,978-0321772978,Peachpit Press,0
235177,1296,1150,iOS Programming: The Big Nerd Ranch Guide,Joe Conway# Aaron Hillegass,978-0321773777,Big Nerd Ranch Guides,iOS Programming: The Big Nerd Ranch Guide,Joe Conway# Aaron Hillegass# Christian Keur,978-0321942050,Big Nerd Ranch Guides,1
240933,1328,4256,"New Perspectives on Computer Concepts 2010, Introductory",June Jamrich Parsons# Dan Oja,,,"New Perspectives on Microsoft Windows 8, Introductory",June Jamrich Parsons,978-1285080888,Cengage Learning,0
274517,1535,3102,IT Disaster Recovery Planning For Dummies,Peter H. Gregory# Philip Jan Rothstein,978-0470039731,For Dummies,IT Disaster Recovery Planning For Dummies,Peter H. Gregory,978-0470039731,Wiley,1
279394,1560,6158,Apple TV For Dummies,Mark L. Chambers,978-0470173626,For Dummies,QuickBooks 2010 For Dummies,Stephen L. Nelson,978-0470505359,Wiley,0
282062,1574,2792,Professional Microsoft SQL Server 2008 Reporting Services,Paul Turley# Thiago Silva# Bryan C. Smith# Ken Withee,,,Beginning T-SQL with Microsoft SQL Server 2005 and 2008,Paul Turley# Dan Wood,978-0470257036,Wiley,0
282774,1576,6469,Professional Microsoft SQL Server 2008 Integration Services,Brian Knight# Erik Veerman# Grant Dickinson# Douglas Hinson# Grant Dickinson# Darren Herbold# Douglas Hinson,978-0470247952,Wrox,Professional Team Foundation Server 2010,Ed Blankenship# Martin Woodward# Grant Holliday# Brian Keller,978-0470943328,Wiley,0
283716,1579,3032,Professional Microsoft SQL Server 2008 Programming,Robert Vieira,978-0470257029,Wrox,Professional Microsoft SQL Server 2012 Reporting Services,Paul Turley# Robert M. Bruckner# Thiago Silva# Ken Withee,978-1118101117,Wiley,0
283876,1580,1059,Microsoft SQL Server 2008 Bible,Paul Nielsen# Uttam Parui# Paul Nielsen# Mike White# Uttam Parui,978-0470257043,Wiley,Microsoft SQL Server 2012 Unleashed,Ray Rankins# Paul T. Bertucci# Chris Gallelli# Alex T. Silverstein,978-0672336928,Sams,0
284045,1580,4653,Microsoft SQL Server 2008 Bible,Paul Nielsen# Uttam Parui# Paul Nielsen# Mike White# Uttam Parui,978-0470257043,Wiley,Beginning Microsoft SQL Server 2012 Programming,Paul Atkinson# Robert Vieira,978-1118102282,Wiley,0
284304,1581,4806,The One Page Project Manager for IT Projects: Communicate and Manage Any Project With A Single Sheet of Paper,Clark A. Campbell,978-0470275887,Wiley,The One-Page Project Manager for IT Projects: Communicate and Manage Any Project With a Single Sheet of Paper,Clark A. Campbell,978-0470275887,Wiley,1
286871,1596,8640,Semantic Web Programming,John Hebeler# Matthew Fisher# John Hebeler# Ryan Blace# Matthew Fisher# Andrew Perez-Lopez# Ryan Blace# Mike Dean# Andrew Perez-Lopez,978-0470418017,Wiley,Programming C# 4.0,Ian Griffiths# Matthew Adams# Jesse Liberty,978-0596159832,"O'Reilly Media, Incorporated",0
287623,1598,6528,iPhone For Dummies,Edward C. Baig# Bob LeVitus# Edward C. Baig,978-0470423424,For Dummies,Mac OS X Lion For Dummies,Bob LeVitus,978-1118022054,Wiley,0
289602,1612,3457,Excel VBA Programming For Dummies,John Walkenbach,978-0470503690,For Dummies,Excel 2007 Power Programming with VBA / Edition 1,John Walkenbach,978-0470044018,Wiley,0
289653,1612,4927,Excel VBA Programming For Dummies,John Walkenbach,978-0470503690,For Dummies,Excel 2007 VBA Programming For Dummies,John Walkenbach,978-0470046746,Wiley,0
